Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 580
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,CALL freq,FOLD freq
7c 5d 5c,0.48053,63.10,943.137,127.089,36.90,231.363,65.1845,80.21,8.74,11.05
7c 5d 2c,0.24965,63.82,952.699,126.935,36.18,221.803,63.7293,78.60,13.62,7.78
7c 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 4c,0.13599,62.82,947.625,128.264,37.18,226.875,63.4372,76.79,23.21,0.00
7c 6c 2c,0.00015,64.06,935.125,124.12,35.94,239.375,69.2444,64.58,21.39,14.03
7c 6c 2d,0.00514,55.42,801.175,122.933,44.58,373.32,87.0465,91.00,9.00,0.00
7c 6c 3c,0.00001,77.29,1155.54,127.137,22.71,18.9672,8.68067,69.81,13.63,16.56
7c 6c 3d,0.01573,56.94,827.741,123.62,43.06,346.761,83.7052,83.75,15.32,0.93
7c 6c 4c,0.00001,78.24,1232.04,133.9,21.76,-57.5367,-27.4868,68.93,21.81,9.26
7c 6c 4d,0.21977,58.20,856.037,125.082,41.80,318.462,79.1883,85.16,14.84,0.00
7c 6c 5c,0.00001,78.87,1217.07,131.213,21.13,-42.573,-20.947,76.92,12.89,10.19
7c 6c 5d,0.17019,52.71,747.96,120.664,47.29,426.542,93.7597,87.51,12.49,0.00
7c 6d 6c,0.21027,60.15,892.441,126.158,39.85,282.061,73.5813,60.58,33.41,6.01
7c 6d 2c,0.00136,55.06,794.639,122.716,44.94,379.861,87.8717,87.11,12.89,0.00
7c 6d 3c,0.01281,55.82,801.23,122.064,44.18,373.268,87.8198,88.00,7.30,4.71
7c 6d 4c,0.17354,59.26,877.117,125.855,40.74,297.384,75.8831,82.84,17.16,0.00
7c 6d 5c,0.20164,53.82,770.116,121.675,46.18,404.383,91.0264,86.90,13.10,0.00
7d 7c 2c,0.66881,63.32,943.597,126.716,36.68,230.905,65.439,79.70,9.22,11.08
7d 7c 3c,0.33641,62.55,933.115,126.862,37.45,241.385,66.9933,79.25,11.00,9.75
7d 7c 4c,0.8287,62.67,933.652,126.683,37.33,240.848,67.0675,76.68,11.60,11.73
7d 7c 5c,0.67583,62.78,936.296,126.823,37.22,238.205,66.5239,80.96,7.39,11.65
7d 7c 6c,0.21336,60.53,900.025,126.442,39.47,274.477,72.2831,57.03,37.81,5.16
7h 7d 7c,2.57811,70.68,1099.81,132.324,29.32,74.6962,26.4787,51.58,32.62,15.79
7d 3c 2c,0.00162,58.17,855.617,125.078,41.83,318.886,79.242,65.10,34.90,0.00
7d 4c 2c,0.42601,64.86,975.79,127.938,35.14,198.708,58.7742,81.03,10.67,8.31
