Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
6h 6d 3c,39.9592,42.63,14.6374,76.2998,57.37,39.8626,124.08,21.25,54.80,23.95
6h 6d 4c,38.636,43.66,14.9592,76.1329,56.34,39.5408,125.335,20.16,59.28,20.56
6h 6d 5c,40.6963,44.18,15.2403,76.6596,55.82,39.2596,125.592,20.44,60.32,19.23
6h 2d 2c,84.494,43.23,14.6156,75.1244,56.77,39.8844,125.466,20.44,62.15,17.41
6h 3d 3c,79.0521,43.16,14.7106,75.7379,56.84,39.7894,125.01,20.52,61.08,18.40
6h 3d 2c,27.3687,43.67,15.2188,77.4384,56.33,39.2812,124.531,20.67,58.00,21.33
6h 4d 4c,40.8748,43.76,14.9924,76.1386,56.24,39.5077,125.438,20.86,58.78,20.36
6h 4d 2c,28.265,44.49,15.5393,77.6222,55.51,38.9607,125.327,19.20,61.87,18.93
6h 4d 3c,11.4606,45.05,16.1447,79.6354,54.95,38.3553,124.647,20.44,58.37,21.19
6h 5d 5c,33.9862,44.22,15.3265,77.0204,55.78,39.1735,125.41,20.84,59.27,19.89
6h 5d 2c,23.737,44.92,15.6147,77.2411,55.08,38.8853,126.075,19.25,62.34,18.41
6h 5d 3c,5.91258,45.56,16.3348,79.6823,54.44,38.1652,125.177,20.33,58.96,20.71
6h 5d 4c,2.37581,46.87,16.406,77.7817,53.13,38.094,128.04,18.66,61.35,19.99
7c 2d 2c,89.6621,43.44,15.1425,77.4695,56.56,39.3575,124.252,23.15,50.80,26.05
7c 3c 2c,94.41,45.71,16.6763,81.0791,54.29,37.8237,124.402,10.67,62.04,27.30
7c 3c 2d,67.1463,44.12,15.2728,76.9255,55.88,39.2272,125.356,20.25,57.26,22.50
