Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
7h 4d 3c,0.74392,68.90,1346.65,132.41,31.10,127.852,42.7398,80.83,19.17
7h 5d 5c,2.49658,65.61,1291.97,133.417,34.39,182.527,55.1686,78.96,21.04
7h 5d 2c,1.93008,68.91,1360.06,133.722,31.09,114.441,38.2605,80.18,19.82
7h 5d 3c,0.75749,68.20,1334.31,132.562,31.80,140.187,45.8186,81.01,18.99
7h 5d 4c,0.60267,66.88,1309.57,132.67,33.12,164.929,51.7578,86.82,13.18
7h 6d 6c,2.0422,63.66,1260.6,134.155,36.34,213.901,61.1903,84.98,15.02
7h 6d 2c,0.83264,69.56,1375.98,134.014,30.44,98.5234,33.6472,79.86,20.14
7h 6d 3c,0.36754,65.66,1297.88,133.923,34.34,176.623,53.4637,87.00,13.00
7h 6d 4c,0.54201,64.07,1257.83,133.017,35.93,216.672,62.6788,86.85,13.15
7h 6d 5c,0.17827,61.68,1208.44,132.743,38.32,266.056,72.1686,87.62,12.38
8c 2d 2c,1.48425,67.54,1315.35,131.947,32.46,159.15,50.9647,82.95,17.05
8c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2d,0.78214,65.16,1280.35,133.127,34.84,194.152,57.927,93.24,6.76
8c 3d 3c,1.42814,66.78,1305.92,132.49,33.22,168.582,52.7508,83.96,16.04
8c 3d 2c,0.76939,64.52,1269.02,133.262,35.48,205.471,60.1955,93.66,6.34
8c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 2d,1.06349,66.55,1311.2,133.489,33.45,163.299,50.7448,91.44,8.56
8c 4c 3c,0.00959,62.39,1240.59,134.723,37.61,233.911,64.648,100.00,0.00
8c 4c 3d,0.71323,65.44,1291.94,133.761,34.56,182.564,54.9075,92.85,7.15
8c 4d 4c,1.11347,67.72,1325.25,132.588,32.28,149.253,48.0609,84.23,15.77
8c 4d 2c,0.99664,66.02,1299.99,133.405,33.98,174.509,53.3862,91.40,8.60
8c 4d 3c,0.55461,64.75,1279.06,133.837,35.25,195.441,57.632,92.89,7.11
8c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2d,0.98707,69.81,1369.37,132.904,30.19,105.123,36.1924,89.84,10.16
8c 5c 3c,0.0008,40.28,801.053,134.723,59.72,673.445,117.23,100.00,0.00
8c 5c 3d,0.57077,69.47,1365.94,133.21,30.53,108.56,36.9654,91.44,8.56
8c 5c 4c,0.01103,56.47,1121.05,134.502,43.53,353.452,84.4024,96.28,3.72
8c 5c 4d,0.15698,64.38,1267.73,133.407,35.62,206.772,60.3442,93.80,6.20
8c 5d 5c,0.88159,67.61,1325,132.774,32.39,149.501,47.9808,85.22,14.78
8c 5d 2c,0.78448,68.75,1350.04,133.051,31.26,124.462,41.3944,90.69,9.31
8c 5d 3c,0.35701,67.86,1333.7,133.149,32.14,140.799,45.5437,91.73,8.27
8c 5d 4c,0.11992,63.06,1237.96,133,36.94,236.537,66.5656,92.72,7.28
8c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2d,0.92999,66.45,1312.58,133.826,33.55,161.92,50.1689,87.54,12.46
8c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3d,0.47752,66.10,1306.79,133.939,33.90,167.704,51.427,89.20,10.80
8c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4d,0.91932,63.90,1258.63,133.448,36.10,215.872,62.1608,92.08,7.92
8c 6c 5c,0.04739,55.93,1106.44,134.023,44.07,368.063,86.8215,92.74,7.26
8c 6c 5d,0.52829,62.36,1238.8,134.598,37.64,235.7,65.0852,99.49,0.51
8c 6d 6c,1.36641,63.50,1256.48,134.055,36.50,218.027,62.096,88.20,11.80
8c 6d 2c,0.76374,66.43,1312.8,133.899,33.57,161.694,50.0623,88.04,11.96
8c 6d 3c,0.36487,65.68,1296.9,133.788,34.32,177.605,53.7865,90.64,9.36
8c 6d 4c,0.90212,64.17,1263.05,133.349,35.83,211.452,61.3497,91.27,8.73
8c 6d 5c,0.47333,61.86,1226.22,134.301,38.14,248.277,67.6669,97.28,2.72
8c 7c 2c,0.01162,54.64,1083.32,134.327,45.36,391.182,89.6452,90.71,9.29
8c 7c 2d,0.84894,65.39,1293.73,134.039,34.61,180.774,54.2981,90.57,9.43
8c 7c 3c,0.00841,53.70,1054.41,133.036,46.30,420.082,94.308,86.03,13.97
8c 7c 3d,0.40901,64.15,1271.57,134.301,35.85,202.925,58.834,90.08,9.92
8c 7c 4c,0.05117,55.32,1096.34,134.279,44.68,378.162,87.9738,93.12,6.88
8c 7c 4d,0.15376,62.74,1245.71,134.516,37.26,228.79,63.8322,97.94,2.06
8c 7c 5c,0.08428,57.69,1146.93,134.684,42.31,327.575,80.4887,99.42,0.58
8c 7c 5d,0.33582,59.45,1181.93,134.704,40.55,292.57,74.9934,99.39,0.61
8c 7c 6c,0.0001,54.57,1071.58,133.051,45.43,402.919,92.1854,86.86,13.14
8c 7c 6d,0.38921,58.76,1152.38,132.876,41.24,322.116,81.188,88.45,11.55
8c 7d 7c,0.36247,61.72,1225.88,134.561,38.28,248.618,67.5163,92.67,7.33
8c 7d 2c,0.83929,65.47,1295.07,134.023,34.53,179.43,54.0129,90.90,9.10
8c 7d 3c,0.41707,63.49,1258.28,134.269,36.51,216.225,61.5644,90.89,9.11
8c 7d 4c,0.16565,64.93,1281.33,133.705,35.07,193.169,57.2529,91.94,8.06
8c 7d 5c,0.44828,60.29,1196.6,134.476,39.71,277.9,72.7399,97.31,2.69
8c 7d 6c,0.461,58.99,1159.2,133.129,41.01,315.296,79.9254,89.73,10.27
8d 8c 2c,0.53439,66.44,1302.66,132.841,33.56,171.841,53.2225,89.19,10.81
8d 8c 3c,0.21458,63.85,1263.14,134.04,36.15,211.365,60.7708,91.39,8.61
8d 8c 4c,0.77649,66.70,1308.53,132.916,33.30,165.973,51.8091,87.84,12.16
8d 8c 5c,0.65038,66.75,1308.76,132.847,33.26,165.746,51.8095,87.07,12.93
8d 8c 6c,0.6732,63.22,1254.05,134.384,36.78,220.453,62.3124,93.89,6.11
8d 8c 7c,0.0025,59.26,1178.32,134.721,40.74,296.174,75.5654,100.00,0.00
8h 8d 8c,8.11126,66.66,1306.71,132.818,33.34,167.791,52.3081,83.24,16.76
8d 3c 2c,0.39647,63.48,1253.05,133.725,36.51,221.454,63.0434,94.69,5.31
8d 4c 2c,0.83519,65.36,1287.36,133.436,34.64,187.146,56.167,91.44,8.56
8d 4c 3c,0.39865,64.79,1277.68,133.615,35.21,196.824,58.1016,92.55,7.45
8d 5c 2c,0.71962,68.51,1343.03,132.812,31.49,131.476,43.4023,89.65,10.35
8d 5c 3c,0.22056,67.81,1332.38,133.115,32.19,142.125,45.9006,90.96,9.04
8d 5c 4c,0.03518,60.79,1184.25,131.987,39.21,290.247,76.9457,88.72,11.28
8d 6c 2c,0.6566,65.47,1294.88,134.002,34.53,179.614,54.0695,89.90,10.10
8d 6c 3c,0.2988,63.99,1265.78,134.008,36.01,208.72,60.258,92.60,7.40
8d 6c 4c,0.78465,64.16,1262.87,133.347,35.84,211.63,61.3873,92.14,7.86
