Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
6h 6d 6c,0.02687,42.29,41.7561,54.8494,57.71,204.756,131.417,0.00,43.62,5.59,50.79
6d 3c 2c,0.40867,42.04,42.998,56.8281,57.96,200.014,127.8,3.73,16.34,38.69,41.24
6d 4c 2c,0.37942,43.17,41.2694,53.1079,56.83,201.496,131.322,3.23,16.53,39.99,40.25
6d 4c 3c,0.65937,42.84,43.5138,56.4348,57.16,199.36,129.166,6.16,14.37,38.78,40.69
6d 5c 2c,0.4978,42.96,37.532,48.5406,57.04,204.492,132.771,3.72,15.46,42.87,37.95
6d 5c 3c,0.59253,43.28,43.3542,55.6521,56.72,199.243,130.099,3.59,17.84,39.02,39.55
6d 5c 4c,1.05299,44.24,44.4063,55.7589,55.76,199.229,132.343,3.29,20.70,32.72,43.29
6h 6d 2c,0.20201,45.80,52.047,63.1367,54.20,195.692,133.718,0.00,26.39,25.35,48.25
6h 6d 3c,0.2338,45.26,52.1955,64.0686,54.74,195.381,132.195,0.00,25.68,26.25,48.06
6h 6d 4c,0.28228,45.86,52.1453,63.1631,54.14,195.074,133.462,0.00,23.03,29.72,47.25
6h 6d 5c,0.33685,46.53,50.1653,59.893,53.47,196.799,136.322,0.00,21.94,31.18,46.88
6h 2d 2c,0.23216,43.00,46.886,60.5704,57.00,199.523,129.654,0.00,26.58,25.23,48.19
6h 3d 3c,0.2961,44.19,49.9211,62.7554,55.81,196.665,130.521,0.00,22.32,30.36,47.32
6h 3d 2c,0.30567,41.55,36.6833,49.0454,58.45,206.848,131.075,0.00,25.25,30.29,44.46
6h 4d 4c,0.21496,45.76,53.9133,65.4538,54.24,192.695,131.579,0.00,19.02,34.84,46.14
6h 4d 2c,0.33084,43.55,34.1582,43.5701,56.45,208.523,136.823,0.00,24.81,33.12,42.08
6h 4d 3c,0.78325,44.41,43.8795,54.8908,55.59,199.385,132.843,0.00,23.44,36.55,40.01
6h 5d 5c,0.25631,47.40,50.0777,58.698,52.60,197.045,138.736,0.00,18.62,34.86,46.52
6h 5d 2c,0.4624,43.98,31.9226,40.3247,56.02,209.284,138.365,0.00,20.54,43.68,35.79
6h 5d 3c,0.71461,45.32,43.6889,53.5583,54.68,198.708,134.588,0.03,24.71,36.54,38.72
6h 5d 4c,0.96393,46.52,48.0422,57.3765,53.48,195.276,135.23,0.00,30.60,26.34,43.06
7c 2d 2c,0.33465,40.58,47.484,65.0101,59.42,198.364,123.639,0.01,18.91,36.74,44.35
7c 3c 2c,0,38.31,59.902,86.8771,61.69,180.661,108.456,0.70,29.85,17.70,51.75
7c 3c 2d,0.2073,41.79,38.6449,51.372,58.21,204.152,129.9,1.83,16.52,42.48,39.18
7c 3d 3c,0.37071,41.66,47.1292,62.852,58.34,198.703,126.142,0.00,18.01,38.28,43.71
7c 3d 2c,0.22554,41.82,38.7293,51.4466,58.18,204.228,130.015,1.83,16.84,41.96,39.38
7c 4c 2c,0,26.85,-30.2506,-62.5901,73.15,265.356,134.355,0.66,33.19,19.43,46.71
7c 4c 2d,0.16077,42.43,38.1038,49.8964,57.57,204.579,131.603,2.73,15.47,42.71,39.08
7c 4c 3c,0.00002,42.01,36.2247,47.91,57.99,210.869,134.668,0.40,33.15,17.55,48.90
7c 4c 3d,0.52007,42.17,44.075,58.0604,57.83,198.258,126.982,7.53,11.10,41.31,40.07
