Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
6h 3d 2c,100,47.14,20.4987,96.6383,52.86,23.0013,96.6917,27.37,72.63
6h 4d 4c,100,46.39,19.2442,92.1888,53.61,24.2558,100.541,40.87,59.13
6h 4d 2c,100,48.40,20.908,96.0019,51.60,22.592,97.2899,28.26,71.74
6h 4d 3c,100,49.64,22.3183,99.9138,50.36,21.1817,93.466,11.46,88.54
6h 5d 5c,100,47.14,19.9919,94.243,52.86,23.5081,98.8278,33.99,66.01
6h 5d 2c,100,49.03,21.3808,96.908,50.97,22.1192,96.4342,23.74,76.26
6h 5d 3c,100,50.31,22.843,100.908,49.69,20.657,92.3731,5.91,94.09
6h 5d 4c,100,51.72,23.491,100.927,48.28,20.0089,92.1018,2.38,97.62
7c 2d 2c,100,43.94,15.8721,80.2793,56.06,27.6279,109.509,89.66,10.34
7c 3c 2c,100,45.88,16.963,82.1693,54.12,26.5369,108.954,94.41,5.59
7c 3c 2d,100,45.86,17.7211,85.8679,54.14,25.7788,105.814,67.15,32.85
7c 3d 3c,100,44.57,16.5813,82.6666,55.43,26.9187,107.925,79.22,20.78
7c 3d 2c,100,45.88,17.7312,85.8826,54.12,25.7688,105.809,67.05,32.95
7c 4c 2c,100,46.78,17.2885,82.1189,53.22,26.2114,109.456,94.18,5.82
7c 4c 2d,100,47.24,18.7931,88.3986,52.76,24.7069,104.071,56.22,43.78
7c 4c 3c,100,47.87,18.126,84.1519,52.13,25.374,108.156,81.53,18.47
7c 4c 3d,100,48.81,20.571,93.655,51.19,22.929,99.5381,33.61,66.39
7c 4d 4c,100,46.39,19.2015,91.9773,53.61,24.2985,100.725,40.65,59.35
7c 4d 2c,100,47.21,18.6934,87.994,52.79,24.8066,104.422,57.66,42.34
7c 4d 3c,100,48.77,20.5065,93.4338,51.23,22.9935,99.7444,34.36,65.64
7c 5c 2c,100,47.29,17.538,82.4184,52.71,25.9619,109.448,91.53,8.47
7c 5c 2d,100,47.81,18.9364,88.0225,52.19,24.5636,104.584,57.16,42.84
7c 5c 3c,100,48.15,18.3988,84.9115,51.85,25.1012,107.583,79.85,20.15
7c 5c 3d,100,49.04,20.3274,92.1059,50.96,23.1726,101.056,41.74,58.26
7c 5c 4c,100,48.96,19.0172,86.3105,51.04,24.4827,106.602,71.27,28.73
7c 5c 4d,100,50.50,21.5212,94.7026,49.50,21.9788,98.6704,29.03,70.97
7c 5d 5c,100,47.06,19.7185,93.1081,52.94,23.7815,99.83,36.64,63.36
7c 5d 2c,100,47.70,18.6701,86.9701,52.30,24.8299,105.512,60.75,39.25
7c 5d 3c,100,48.94,20.0897,91.2257,51.06,23.4103,101.881,44.83,55.17
7c 5d 4c,100,50.44,21.3672,94.1423,49.56,22.1327,99.2354,31.29,68.71
7c 6c 2c,100,46.97,16.9816,80.3356,53.03,26.5184,111.134,98.09,1.91
7c 6c 2d,100,47.74,18.5772,86.4797,52.26,24.9227,105.971,61.27,38.73
7c 6c 3c,100,48.08,18.1071,83.6884,51.92,25.3929,108.685,83.12,16.88
7c 6c 3d,100,49.05,20.354,92.2069,50.95,23.146,100.961,38.30,61.70
7c 6c 4c,100,49.10,19.0773,86.3377,50.90,24.4227,106.631,71.04,28.96
7c 6c 4d,100,50.52,21.3699,93.9984,49.48,22.1301,99.3909,31.15,68.85
7c 6c 5c,100,49.62,19.4451,87.0791,50.38,24.0549,106.111,63.49,36.51
7c 6c 5d,100,51.28,21.7806,94.3888,48.72,21.7194,99.064,27.43,72.57
7c 6d 6c,100,46.55,18.8257,89.8661,53.45,24.6743,102.59,49.04,50.96
7c 6d 2c,100,47.81,18.6331,86.6015,52.19,24.8669,105.888,60.78,39.22
7c 6d 3c,100,49.11,20.3835,92.2294,50.89,23.1165,100.949,37.62,62.38
7c 6d 4c,100,50.61,21.4428,94.15,49.39,22.0571,99.2454,29.93,70.07
7c 6d 5c,100,51.43,21.9802,94.9738,48.57,21.5198,98.4589,24.29,75.71
7d 7c 2c,100,44.37,18.1539,90.9143,55.63,25.346,101.255,44.01,55.99
7d 7c 3c,100,44.92,18.4071,91.0672,55.08,25.0928,101.233,43.27,56.73
7d 7c 4c,100,46.08,19.0813,92.027,53.92,24.4186,100.631,40.78,59.22
7d 7c 5c,100,46.55,19.0658,91.0091,53.45,24.4342,101.595,46.06,53.94
