Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
7d 6c 3c,46.7959,45.35,15.8742,77.7789,54.65,38.6258,126.221,19.30,57.91,22.78
7d 6c 4c,29.1101,45.96,16.3575,79.0912,54.04,38.1425,126.038,18.85,58.93,22.22
7d 6c 5c,22.533,46.49,16.5051,78.8875,53.51,37.9949,126.805,17.66,60.93,21.41
7h 7d 2c,56.771,41.04,14.3862,77.8919,58.96,40.1139,121.499,23.28,45.24,31.48
7h 7d 3c,51.3825,41.71,14.4574,77.0289,58.29,40.0426,122.667,22.57,48.64,28.79
7h 7d 4c,48.689,42.05,14.4979,76.6138,57.95,40.0021,123.27,21.83,51.64,26.53
7h 7d 5c,60.9336,42.90,14.9638,77.5181,57.10,39.5362,123.637,21.52,54.98,23.50
7h 7d 6c,59.1669,43.37,15.15,77.6196,56.63,39.35,124.091,22.24,54.39,23.36
7h 2d 2c,99.9973,41.56,13.5392,72.3894,58.44,40.9608,125.168,19.54,53.24,27.22
7h 3d 3c,89.8058,42.22,14.5827,76.764,57.78,39.9173,123.356,23.14,52.23,24.63
7h 3d 2c,76.0375,42.66,14.7776,76.9754,57.34,39.7224,123.71,20.24,60.52,19.24
7h 4d 4c,68.1216,42.28,14.5791,76.6328,57.72,39.9209,123.499,22.94,51.22,25.83
7h 4d 2c,56.8682,42.70,14.9177,77.6433,57.30,39.5823,123.347,20.26,57.88,21.87
7h 4d 3c,24.3979,43.56,15.1765,77.4298,56.44,39.3235,124.408,19.59,55.72,24.70
7h 5d 5c,51.1561,42.96,15.0639,77.9188,57.04,39.4361,123.464,22.58,52.76,24.65
7h 5d 2c,62.0767,43.61,15.1637,77.265,56.39,39.3364,124.572,18.80,61.52,19.69
7h 5d 3c,37.5899,44.03,15.5917,78.6843,55.97,38.9083,124.146,19.45,58.53,22.02
7h 5d 4c,18.9475,44.87,16.171,80.0892,55.13,38.329,124.15,19.58,57.13,23.28
7h 6d 6c,50.6946,43.41,15.0911,77.26,56.59,39.4089,124.348,22.45,53.69,23.86
7h 6d 2c,59.7094,44.36,15.2722,76.5039,55.64,39.2278,125.901,19.18,61.43,19.39
7h 6d 3c,35.7133,44.68,15.5406,77.2906,55.32,38.9594,125.763,19.24,59.79,20.97
7h 6d 4c,15.098,45.46,16.3039,79.69,54.54,38.1961,125.07,19.49,58.49,22.03
7h 6d 5c,4.20252,46.51,16.4527,78.6132,53.49,38.0473,127.013,18.30,59.99,21.70
8c 2d 2c,99.9044,42.19,14.6191,76.9993,57.81,39.8809,123.192,24.16,44.53,31.31
8c 3c 2c,97.8605,44.66,16.3974,81.5976,55.34,38.1026,122.942,11.52,58.40,30.08
8c 3c 2d,77.1164,43.15,15.1802,78.1838,56.85,39.3198,123.5,21.89,52.38,25.74
8c 3d 3c,90.2253,42.34,14.9552,78.4888,57.66,39.5448,122.474,25.60,43.31,31.09
8c 3d 2c,75.3949,43.14,15.194,78.2669,56.86,39.306,123.442,21.76,52.51,25.73
8c 4c 2c,91.2328,45.24,16.6251,81.6687,54.76,37.8749,123.503,12.02,59.29,28.69
8c 4c 2d,60.025,43.38,15.2447,78.0987,56.62,39.2553,123.8,20.85,54.34,24.81
8c 4c 3c,97.642,45.43,16.5998,81.1907,54.57,37.9002,124.032,11.57,60.15,28.28
8c 4c 3d,61.5068,43.74,15.2975,77.725,56.26,39.2025,124.423,19.97,55.85,24.18
8c 4d 4c,65.7815,42.50,14.954,78.1826,57.50,39.546,122.823,23.66,47.84,28.50
8c 4d 2c,60.3525,43.40,15.2529,78.1048,56.60,39.2471,123.818,20.73,54.55,24.72
8c 4d 3c,63.3968,43.75,15.2898,77.6669,56.25,39.2102,124.472,19.91,56.06,24.04
8c 5c 2c,96.9492,45.87,16.7998,81.3863,54.13,37.7002,124.373,10.49,62.63,26.88
8c 5c 2d,64.4882,44.19,15.491,77.9099,55.81,39.009,124.803,19.59,57.51,22.90
8c 5c 3c,99.9288,46.00,16.6521,80.4402,54.00,37.8479,125.165,9.27,64.21,26.52
8c 5c 3d,65.6447,44.53,15.5649,77.6715,55.47,38.9351,125.346,18.58,59.20,22.22
8c 5c 4c,88.5227,46.57,16.818,80.258,53.43,37.682,125.931,7.68,69.88,22.44
8c 5c 4d,41.7283,45.19,15.8659,78.0231,54.81,38.6341,125.867,18.34,59.09,22.56
8c 5d 5c,48.6299,43.15,15.2946,78.7607,56.85,39.2054,123.156,23.18,49.31,27.52
8c 5d 2c,66.0496,44.24,15.5028,77.8702,55.76,38.9972,124.891,19.43,57.63,22.94
8c 5d 3c,68.6584,44.58,15.5631,77.5769,55.42,38.9369,125.463,18.37,59.48,22.15
8c 5d 4c,42.9669,45.22,15.8892,78.0888,54.78,38.6108,125.856,18.13,59.29,22.59
8c 6c 2c,99.6914,46.14,16.657,80.2191,53.86,37.843,125.475,8.69,65.38,25.93
8c 6c 2d,67.0838,44.90,15.6117,77.2658,55.10,38.8883,126.033,18.55,60.85,20.60
8c 6c 3c,99.6241,46.29,16.7127,80.2326,53.71,37.7873,125.632,8.70,65.75,25.54
8c 6c 3d,63.8052,44.99,15.6388,77.249,55.01,38.8612,126.146,18.11,61.10,20.79
8c 6c 4c,86.0766,46.78,16.9638,80.5811,53.22,37.5362,125.951,7.19,71.28,21.53
8c 6c 4d,45.3376,45.65,16.0149,77.952,54.35,38.4851,126.457,17.65,61.87,20.48
8c 6c 5c,83.2732,47.15,17.2729,81.4084,52.85,37.2271,125.785,6.56,72.61,20.83
8c 6c 5d,39.1799,46.07,16.4116,79.155,53.93,38.0884,126.128,16.85,63.32,19.83
8c 6d 6c,49.2967,43.43,15.2241,77.8953,56.57,39.2759,123.984,22.09,51.93,25.98
8c 6d 2c,68.6461,44.97,15.6205,77.1861,55.03,38.8795,126.168,18.40,60.98,20.62
8c 6d 3c,67.1409,45.05,15.6462,77.1745,54.95,38.8538,126.27,17.97,61.39,20.64
8c 6d 4c,46.7356,45.68,16.0113,77.8946,54.32,38.4887,126.523,17.45,62.13,20.42
8c 6d 5c,39.5486,46.12,16.4455,79.2355,53.88,38.0545,126.128,16.80,63.39,19.81
8c 7c 2c,98.9592,45.83,16.527,80.1329,54.17,37.973,125.183,8.98,65.49,25.53
8c 7c 2d,68.7082,44.68,15.4224,76.7025,55.32,39.0776,126.145,19.20,59.38,21.41
8c 7c 3c,99.9135,45.98,16.3013,78.7902,54.02,38.1987,126.264,7.44,68.14,24.42
8c 7c 3d,68.8657,45.08,15.5278,76.542,54.92,38.9722,126.721,18.18,61.53,20.29
8c 7c 4c,85.4423,46.76,16.896,80.2889,53.24,37.604,126.138,7.62,71.23,21.15
8c 7c 4d,39.3829,45.47,15.7229,76.8383,54.53,38.7771,126.989,17.27,62.48,20.25
8c 7c 5c,81.5676,47.13,17.2658,81.418,52.87,37.2342,125.75,7.40,72.06,20.54
8c 7c 5d,43.576,46.22,16.4174,78.935,53.78,38.0825,126.448,17.21,63.26,19.54
8c 7c 6c,83.4071,47.31,17.0724,80.1842,52.69,37.4276,126.856,7.48,72.23,20.28
8c 7c 6d,39.6958,46.15,15.8618,76.3758,53.85,38.6382,128.131,15.10,67.15,17.75
8c 7d 7c,60.3786,43.46,15.1981,77.7074,56.54,39.3019,124.133,21.78,53.82,24.41
8c 7d 2c,68.3015,44.76,15.454,76.7312,55.24,39.046,126.214,19.21,59.18,21.60
8c 7d 3c,69.9874,45.15,15.5442,76.5108,54.85,38.9558,126.82,18.23,61.36,20.42
