Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
6h 4d 2c,100,52.03,114.225,95.4596,47.97,114.275,103.564,47.83,52.17
6h 4d 3c,100,51.52,104.948,88.5655,48.48,123.552,110.807,43.21,56.79
6h 5d 5c,100,53.15,121.354,99.2795,46.85,107.146,99.4253,63.52,36.48
6h 5d 2c,100,51.44,107.527,90.8826,48.56,120.973,108.315,46.16,53.84
6h 5d 3c,100,51.01,99.7933,85.0524,48.99,128.707,114.235,39.40,60.60
6h 5d 4c,100,50.02,91.3543,79.4101,49.98,137.146,119.3,28.01,71.99
7c 2d 2c,100,53.76,133.085,107.634,46.24,95.415,89.7142,63.53,36.47
7c 3c 2c,100,52.02,110.573,92.4235,47.98,117.927,106.854,2.01,97.99
7c 3c 2d,100,52.40,115.491,95.8308,47.60,113.009,103.219,55.86,44.14
7c 3d 3c,100,53.64,130.176,105.519,46.36,98.3242,92.2083,63.32,36.68
7c 3d 2c,100,52.43,115.821,96.0477,47.57,112.679,102.985,56.19,43.81
7c 4c 2c,100,52.03,112.567,94.0697,47.97,115.933,105.072,8.32,91.68
7c 4c 2d,100,52.16,117.545,97.9877,47.84,110.955,100.83,57.58,42.42
7c 4c 3c,100,50.88,105.284,89.9744,49.12,123.216,109.055,0.00,100.00
7c 4c 3d,100,50.81,101.522,86.8664,49.19,126.978,112.242,38.23,61.77
7c 4d 4c,100,52.95,122.422,100.518,47.05,106.078,98.03,61.91,38.09
7c 4d 2c,100,52.10,116.82,97.4883,47.90,111.68,101.37,56.76,43.24
7c 4d 3c,100,50.74,100.784,86.3675,49.26,127.716,112.716,36.31,63.69
7c 5c 2c,100,51.78,112.03,94.0614,48.22,116.47,105.025,6.96,93.04
