Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12 RAISE 50
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 975 freq,CALL freq,FOLD freq
6h 6d 5c,8.4941,51.88,85.4123,147.003,48.12,25.0877,70.4494,0.00,66.87,33.13
6h 2d 2c,8.83047,50.62,87.3323,154.055,49.38,23.1677,63.3956,0.00,70.94,29.06
6h 3d 3c,9.68268,51.02,86.3064,151.03,48.98,24.1936,66.7534,0.00,70.61,29.39
6h 3d 2c,7.17402,51.20,85.5317,149.166,48.80,24.9683,69.1364,0.00,72.23,27.77
6h 4d 4c,6.95266,50.92,86.6144,151.881,49.08,23.8856,65.7628,0.00,67.95,32.05
6h 4d 2c,3.90376,51.34,87.4397,152.06,48.66,23.0603,64.0447,0.00,69.18,30.82
6h 4d 3c,4.41872,52.33,85.3724,145.649,47.67,25.1276,71.2391,0.00,67.78,32.22
6h 5d 5c,6.86575,51.85,85.948,148.008,48.15,24.552,68.9033,0.00,66.61,33.39
6h 5d 2c,4.04506,51.88,86.9332,149.607,48.12,23.5668,66.1851,0.00,69.02,30.98
6h 5d 3c,4.32534,53.52,86.1166,143.668,46.48,24.3835,70.8905,0.00,67.85,32.15
6h 5d 4c,5.95101,55.37,85.5754,137.996,44.63,24.9246,75.4671,0.00,67.88,32.12
7c 2d 2c,11.2973,54.20,86.8192,143.025,45.80,23.6808,69.8692,0.00,66.18,33.82
7c 3c 2c,7.1953,56.23,89.2498,141.724,43.77,21.2502,65.6032,0.00,56.38,43.62
7c 3c 2d,9.01218,54.01,85.5298,141.388,45.99,24.9702,73.374,0.00,66.32,33.68
7c 3d 3c,10.6845,54.01,86.0163,142.199,45.99,24.4837,71.9404,0.00,65.62,34.38
7c 3d 2c,8.96836,54.00,85.5851,141.498,46.00,24.9149,73.1999,0.00,66.38,33.62
7c 4c 2c,6.76753,56.20,89.2985,141.86,43.80,21.2015,65.4187,0.00,56.54,43.46
7c 4c 2d,7.00063,53.31,85.7725,143.647,46.69,24.7275,71.574,0.00,66.17,33.83
7c 4c 3c,6.36859,56.72,88.2151,138.874,43.28,22.2849,69.5741,0.00,58.26,41.74
7c 4c 3d,6.7651,53.74,85.1688,141.49,46.26,25.3312,74.0054,0.00,66.35,33.65
7c 4d 4c,7.46012,53.15,86.4736,145.258,46.85,24.0264,69.3063,0.00,65.07,34.93
7c 4d 2c,7.19378,53.39,85.8035,143.499,46.61,24.6964,71.5978,0.00,66.28,33.72
7c 4d 3c,6.94694,53.75,85.1119,141.388,46.25,25.3881,74.176,0.00,66.50,33.50
7c 5c 2c,6.54518,56.52,89.0617,140.7,43.48,21.4383,66.6249,0.00,56.68,43.32
7c 5c 2d,6.53476,53.23,85.881,144.051,46.77,24.619,71.134,0.00,65.98,34.02
7c 5c 3c,5.49694,57.60,88.8205,137.68,42.40,21.6795,69.0961,0.00,58.16,41.84
7c 5c 3d,5.11189,54.54,86.4183,141.473,45.46,24.0817,71.5855,0.00,65.99,34.01
7c 5c 4c,5.7816,57.83,87.865,135.652,42.17,22.635,72.5383,0.00,58.59,41.41
7c 5c 4d,5.15815,55.46,85.8938,138.293,44.54,24.6062,74.6478,0.00,65.24,34.76
7c 5d 5c,7.45884,53.43,85.8179,143.411,46.57,24.6821,71.6205,0.00,64.45,35.55
7c 5d 2c,6.7337,53.35,85.8754,143.728,46.65,24.6246,71.3273,0.00,66.13,33.87
7c 5d 3c,5.29549,54.63,86.4082,141.219,45.37,24.0918,71.7605,0.00,66.14,33.86
7c 5d 4c,5.24414,55.52,85.7368,137.881,44.48,24.7632,75.2321,0.00,65.24,34.76
7c 6c 2c,7.37193,55.17,88.922,143.917,44.83,21.578,65.0401,0.00,56.95,43.05
7c 6c 2d,8.59897,53.09,85.5629,143.895,46.91,24.9371,71.8389,0.00,66.34,33.66
7c 6c 3c,7.19276,55.80,87.3826,139.809,44.20,23.1174,70.6859,0.00,59.05,40.95
7c 6c 3d,7.97456,54.10,85.3483,140.846,45.90,25.1517,74.0568,0.00,67.61,32.39
7c 6c 4c,4.53321,57.22,88.6848,138.376,42.78,21.8153,68.9155,0.00,58.74,41.26
7c 6c 4d,3.53658,55.87,86.7667,138.665,44.13,23.7333,72.6739,0.00,66.43,33.57
7c 6c 5c,6.62754,57.14,87.2277,136.299,42.86,23.2723,73.3767,0.00,58.92,41.08
7c 6c 5d,5.79783,55.69,85.2806,136.731,44.31,25.2194,76.9103,0.00,67.90,32.10
7c 6d 6c,11.404,53.66,85.6095,142.444,46.34,24.8905,72.5863,0.00,65.04,34.96
7c 6d 2c,8.80241,53.30,85.624,143.43,46.70,24.876,71.9854,0.00,66.34,33.66
7c 6d 3c,8.0965,54.28,85.448,140.548,45.72,25.052,74.0506,0.11,67.53,32.36
7c 6d 4c,3.37336,55.96,86.7408,138.385,44.03,23.7592,72.9127,0.05,66.28,33.68
7c 6d 5c,5.71568,55.73,85.3011,136.652,44.27,25.199,76.9271,0.01,67.76,32.22
7d 7c 2c,9.7447,52.85,86.2228,145.663,47.15,24.2772,69.5822,0.00,64.42,35.58
7d 7c 3c,9.77856,53.41,86.1232,143.985,46.59,24.3768,70.6981,0.00,64.66,35.34
7d 7c 4c,8.43697,53.02,85.9756,144.786,46.98,24.5244,70.5415,0.00,64.70,35.30
7d 7c 5c,8.28271,53.43,85.4415,142.777,46.57,25.0584,72.7148,0.00,64.48,35.52
7d 7c 6c,10.6202,53.41,85.9235,143.63,46.59,24.5765,71.2893,0.00,64.87,35.13
7h 7d 7c,10.1664,57.10,87.0091,136.044,42.90,23.4909,74.0034,0.00,69.70,30.30
7d 3c 2c,9.0353,54.09,85.6648,141.406,45.91,24.8352,73.1018,0.00,66.18,33.82
7d 4c 2c,7.46723,53.42,85.8736,143.53,46.58,24.6264,71.4434,0.00,66.31,33.69
7d 4c 3c,6.9253,53.87,85.1685,141.168,46.13,25.3315,74.2025,0.02,66.42,33.57
7d 5c 2c,6.61946,53.37,85.8882,143.698,46.63,24.6118,71.3193,0.00,66.05,33.95
7d 5c 3c,5.01189,54.69,86.3833,141.021,45.31,24.1167,71.9312,0.07,65.99,33.94
