Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
7c 5c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 4d,0,90.01,1187.19,120.998,9.99,-130.662,-726.971,26.89,73.11
7c 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 2c,0.00291,69.35,1019.68,134.897,30.65,41.5163,75.2463,21.76,78.24
7c 5d 3c,0.00536,67.32,1028.32,140.134,32.68,33.2516,56.531,21.35,78.65
7c 5d 4c,0.00001,91.10,1200.06,120.856,8.90,-143.041,-892.824,26.35,73.65
7c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 3d,0.00157,65.03,1032.66,145.676,34.97,25.3749,40.3165,25.24,74.76
7c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 4d,0.00076,68.55,1046,139.991,31.45,14.5429,25.6891,22.48,77.52
7c 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 5d,0.00054,71.07,1040.2,134.285,28.93,17.559,33.7148,25.53,74.47
7c 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6d 2c,0.00321,70.69,1026.31,133.206,29.31,37.0435,70.2042,19.39,80.61
7c 6d 3c,0.00126,66.97,1030.94,141.24,33.04,26.6684,44.8487,25.70,74.30
7c 6d 4c,0.00027,63.57,1043.54,150.591,36.43,13.1453,20.0492,26.72,73.28
7c 6d 5c,0.00016,72.93,1045.99,131.573,27.07,12.9959,26.6754,24.19,75.81
7d 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 3c,0.00019,87.66,1116.61,116.859,12.34,-51.6061,-232.343,17.58,82.42
7d 7c 4c,0.00012,86.37,1109,117.805,13.63,-43.8629,-178.737,17.43,82.57
7d 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 5c 4c,0.00001,90.97,1201.58,121.184,9.03,-145.233,-893.113,27.08,72.92
7d 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 6c 3c,0.00012,56.92,1018.18,164.099,43.08,36.8515,47.5268,28.54,71.46
7d 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 6c 5c,0.00015,74.54,1050.51,129.3,25.46,8.87597,19.366,23.75,76.25
7h 7d 2c,0.00011,92.09,1138.08,113.381,7.91,-74.7005,-524.542,19.36,80.64
7h 7d 3c,0.00012,91.06,1136.74,114.532,8.94,-71.9142,-446.725,17.77,82.23
7h 7d 4c,0.0002,89.55,1128.45,115.606,10.45,-62.845,-334.193,16.91,83.09
7h 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
