Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 366 freq,CALL freq,FOLD freq
7h 6d 5c,24.7868,52.18,271.058,135.976,47.82,109.442,99.5132,7.47,3.04,63.27,26.22
8c 2d 2c,60.1555,55.33,312.882,148.022,44.67,67.6177,65.8197,0.00,9.40,61.07,29.53
8c 3c 2c,7.72617,52.69,294.169,146.148,47.31,86.3313,79.3415,0.00,0.00,57.38,42.62
8c 3c 2d,53.3153,54.43,296.57,142.64,45.57,83.9301,80.0737,2.07,4.44,64.21,29.28
8c 3d 3c,60.5345,55.46,309.756,146.219,44.54,70.7437,69.0521,0.00,9.06,60.23,30.71
8c 3d 2c,53.5035,54.43,296.539,142.621,45.57,83.9611,80.1063,1.90,4.59,64.17,29.34
8c 4c 2c,16.6497,52.36,290.909,145.445,47.64,89.5915,81.7635,0.00,0.00,58.01,41.99
8c 4c 2d,55.1688,54.22,299.416,144.558,45.78,81.084,77.009,2.19,6.66,62.08,29.07
8c 4c 3c,9.39199,52.76,292.103,144.931,47.24,88.3969,81.3592,0.09,0.22,58.62,41.07
8c 4c 3d,52.0277,53.95,293.75,142.536,46.05,86.7496,81.9049,2.38,4.76,63.93,28.93
8c 4d 4c,60.7696,54.62,299.754,143.673,45.38,80.7461,77.3566,0.00,6.92,64.55,28.53
8c 4d 2c,54.5991,54.08,297.938,144.216,45.92,82.5622,78.1748,2.12,6.23,62.61,29.04
8c 4d 3c,51.4373,53.81,292.263,142.177,46.19,88.2374,83.0612,2.75,3.81,64.69,28.75
8c 5c 2c,13.8497,52.43,294.078,146.825,47.57,86.4217,78.992,0.00,0.00,57.71,42.29
8c 5c 2d,53.2967,53.87,295.404,143.563,46.13,85.0962,80.1967,0.87,6.45,63.59,29.09
8c 5c 3c,7.33104,52.97,296.437,146.506,47.03,84.063,77.7115,0.01,0.02,58.75,41.21
8c 5c 3d,49.9694,53.62,289.913,141.531,46.38,90.5869,84.9252,1.18,3.92,66.25,28.64
8c 5c 4c,0.66321,53.03,304.029,150.095,46.97,76.4713,70.7796,0.39,3.34,55.06,41.21
8c 5c 4d,36.8209,52.52,276.936,138.028,47.48,103.564,94.8404,1.26,1.57,68.18,28.99
8c 5d 5c,57.8339,54.20,290.579,140.356,45.80,89.9205,85.3552,0.09,5.43,64.71,29.77
8c 5d 2c,52.4979,53.69,293.211,142.96,46.31,87.2893,81.9539,1.13,5.25,64.65,28.97
8c 5d 3c,47.9523,53.44,287.831,141.009,46.56,92.6695,86.5266,1.92,2.68,66.97,28.42
8c 5d 4c,35.9216,52.49,276.438,137.855,47.51,104.062,95.2399,1.44,1.27,68.24,29.05
8c 6c 2c,10.687,52.27,298.606,149.55,47.73,81.894,74.5979,0.00,0.00,56.45,43.55
8c 6c 2d,55.9532,53.54,293.63,143.579,46.46,86.8705,81.2883,0.25,6.02,64.96,28.77
8c 6c 3c,3.74594,53.12,305.09,150.339,46.88,75.4104,69.9449,0.00,0.00,56.77,43.23
8c 6c 3d,51.1126,53.36,288.659,141.607,46.64,91.841,85.6198,1.33,3.37,66.29,29.00
8c 6c 4c,9.36971,53.06,299.638,147.833,46.94,80.8617,74.8977,0.00,0.00,58.09,41.91
8c 6c 4d,48.4746,53.34,289.479,142.059,46.66,91.0208,84.8215,1.86,5.97,63.18,28.99
8c 6c 5c,2.73247,53.17,306.016,150.672,46.83,74.4845,69.1495,0.21,3.63,53.49,42.67
8c 6c 5d,40.0769,52.85,282.906,140.122,47.15,97.5945,90.0005,4.43,3.79,63.39,28.40
8c 6d 6c,65.6102,54.26,292.137,140.943,45.74,88.3635,83.9941,0.45,6.89,63.61,29.05
8c 6d 2c,54.5958,53.43,292.54,143.329,46.57,87.9599,82.1212,0.59,5.03,65.77,28.61
8c 6d 3c,49.1817,53.26,287.804,141.447,46.74,92.6965,86.2367,1.68,2.68,66.74,28.90
8c 6d 4c,48.5236,53.28,289.112,142.043,46.72,91.3878,85.051,1.92,5.99,63.11,28.98
8c 6d 5c,40.587,52.86,283.193,140.258,47.14,97.3073,89.7405,5.34,3.17,63.20,28.30
8c 7c 2c,4.8484,52.68,300.714,149.423,47.32,79.786,73.3131,0.19,0.73,56.32,42.76
8c 7c 2d,56.447,53.85,288.133,140.057,46.15,92.3667,87.0282,2.33,6.01,61.56,30.11
8c 7c 3c,0.72005,52.62,304.308,151.399,47.38,76.1917,69.9131,0.40,2.75,54.13,42.72
8c 7c 3d,50.6758,53.63,283.993,138.618,46.37,96.507,90.4922,3.52,3.14,63.47,29.87
8c 7c 4c,2.57527,52.43,299.924,149.753,47.57,80.5763,73.6442,1.01,4.08,52.73,42.18
8c 7c 4d,41.7107,52.70,277.667,137.928,47.30,102.833,94.5232,3.76,1.40,66.42,28.43
8c 7c 5c,3.80336,53.28,301.423,148.107,46.72,79.0766,73.5849,1.60,4.68,51.84,41.87
8c 7c 5d,39.7201,53.05,281.333,138.813,46.95,99.1675,91.8439,8.57,2.66,59.32,29.45
8c 7c 6c,0.0033,44.82,253.835,148.253,55.18,126.675,99.8151,1.69,12.12,44.14,42.06
8c 7c 6d,11.4267,52.15,281.591,141.343,47.85,98.9095,89.8787,4.99,9.76,55.31,29.94
8c 7d 7c,71.7162,54.62,289.771,138.874,45.38,90.729,86.9315,8.33,1.54,60.97,29.16
8c 7d 2c,57.0662,53.93,289.437,140.489,46.07,91.0631,85.944,2.61,5.67,61.57,30.15
8c 7d 3c,51.0533,53.73,285.481,139.087,46.27,95.019,89.2883,3.87,3.19,62.71,30.23
8c 7d 4c,43.6988,52.84,279.402,138.419,47.16,101.098,93.2073,4.17,1.43,65.74,28.67
8c 7d 5c,42.3047,53.19,283.121,139.334,46.81,97.3785,90.4526,8.33,3.46,58.48,29.73
8c 7d 6c,14.4607,52.23,281.417,141.036,47.77,99.0832,90.1897,5.44,9.25,55.20,30.11
8d 8c 2c,60.019,54.70,295.54,141.425,45.30,84.9603,81.5524,1.58,3.46,65.47,29.48
8d 8c 3c,55.7682,54.54,289.921,139.146,45.46,90.5792,86.638,2.32,1.52,66.03,30.13
8d 8c 4c,60.9263,54.22,290.586,140.294,45.78,89.9138,85.3965,0.53,4.75,67.14,27.57
8d 8c 5c,58.9827,53.90,285.24,138.528,46.10,95.2601,89.8469,0.67,4.29,66.48,28.56
8d 8c 6c,65.6769,54.04,284.801,137.955,45.96,95.6995,90.5386,1.27,3.40,66.82,28.51
8d 8c 7c,68.574,54.38,282.639,136.064,45.62,97.8609,93.2636,7.56,0.01,63.69,28.74
8h 8d 8c,76.8041,56.38,321.581,149.303,43.62,58.9191,58.7331,0.00,25.42,42.21,32.37
8d 3c 2c,51.7771,54.19,294.372,142.208,45.81,86.1282,81.7421,3.10,2.57,65.06,29.27
8d 4c 2c,54.2786,53.95,296.625,143.936,46.05,83.875,79.1875,1.96,5.62,63.57,28.85
8d 4c 3c,50.7792,53.65,290.924,141.943,46.35,89.5764,84.0337,3.09,2.86,65.46,28.60
8d 5c 2c,52.6154,53.63,292.656,142.843,46.37,87.8437,82.3718,0.85,4.99,65.34,28.82
8d 5c 3c,48.3349,53.41,287.282,140.798,46.59,93.2183,86.9982,2.44,1.82,67.43,28.31
8d 5c 4c,33.0251,52.33,275.267,137.709,47.67,105.233,95.9736,1.67,0.42,69.15,28.77
8d 6c 2c,54.3573,53.38,291.396,142.905,46.62,89.1038,83.098,1.11,4.36,65.63,28.90
8d 6c 3c,48.5588,53.20,286.926,141.181,46.80,93.5741,86.9369,2.22,2.22,66.38,29.19
8d 6c 4c,47.3137,53.24,288.329,141.78,46.76,92.1713,85.6962,1.83,5.37,63.90,28.90
8d 6c 5c,37.77,52.64,281.754,140.104,47.35,98.7462,90.6624,4.08,3.86,63.82,28.24
8d 7c 2c,55.8249,53.85,288.575,140.275,46.15,91.9246,86.6097,3.96,4.30,61.55,30.19
8d 7c 3c,49.3697,53.62,284.582,138.941,46.38,95.9184,89.9134,5.06,2.18,62.47,30.29
