Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
6h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 4c,0.10886,46.85,281.144,112.384,53.15,979.353,146,48.37,51.63
7c 2d 2c,0.39218,44.50,236.737,99.6206,55.50,1023.76,146.171,47.07,52.93
7c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3c 2d,3.63659,43.02,221.918,96.5899,56.97,1038.58,144.443,50.57,49.43
7c 3d 3c,0.68237,44.57,239.221,100.518,55.43,1021.28,145.987,47.52,52.48
7c 3d 2c,3.56439,43.07,223.645,97.2308,56.93,1036.86,144.327,50.63,49.37
7c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2d,2.49579,43.74,231.359,99.0551,56.26,1029.14,144.947,49.35,50.65
7c 4c 3c,0,58.44,506.044,162.153,41.56,754.462,143.854,63.79,36.21
7c 4c 3d,1.83386,43.10,221.885,96.4004,56.90,1038.62,144.646,54.62,45.38
7c 4d 4c,0.52794,44.97,252.559,105.177,55.03,1007.94,145.13,48.01,51.99
7c 4d 2c,2.63604,43.31,224.572,97.1085,56.69,1035.93,144.791,49.25,50.75
7c 4d 3c,1.79716,42.89,219.182,95.6985,57.11,1041.32,144.482,54.39,45.61
7c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2d,0.74188,43.35,227.489,98.2813,56.65,1033.01,144.483,50.40,49.60
7c 5c 3c,0.00036,43.61,300.238,128.928,56.39,960.26,134.934,51.84,48.16
7c 5c 3d,2.14369,43.69,229.995,98.5827,56.31,1030.5,145.01,55.42,44.58
7c 5c 4c,0.00001,55.46,363.214,122.642,44.54,897.284,159.633,52.47,47.53
7c 5c 4d,1.21951,42.76,210.647,92.2541,57.24,1049.85,145.332,55.09,44.91
7c 5d 5c,0.37069,44.63,246.798,103.559,55.37,1013.7,145.065,47.41,52.59
7c 5d 2c,1.74677,43.51,234.119,100.763,56.49,1026.38,143.972,49.78,50.22
7c 5d 3c,2.01804,42.90,216.664,94.5781,57.10,1043.84,144.855,55.55,44.45
7c 5d 4c,1.23191,42.42,206.717,91.2578,57.58,1053.78,145.016,55.26,44.74
7c 6c 2c,0.00002,29.50,210.472,133.595,70.50,1050.03,118.023,47.65,52.35
7c 6c 2d,2.58048,44.56,232.47,97.688,55.44,1028.03,146.946,49.59,50.41
7c 6c 3c,0,71.51,693.931,181.727,28.49,566.581,157.568,100.00,0.00
7c 6c 3d,0.71983,42.99,200.994,87.5554,57.01,1059.51,147.26,51.45,48.55
7c 6c 4c,0.00001,32.27,93.0674,54.0009,67.73,1167.43,136.588,52.15,47.85
7c 6c 4d,1.92,43.92,219.127,93.4376,56.08,1041.37,147.134,56.18,43.82
7c 6c 5c,0.00001,32.82,206.902,118.05,67.18,1053.6,124.276,23.93,76.07
7c 6c 5d,0.73229,41.37,187.435,84.8492,58.63,1073.06,145.021,55.36,44.64
7c 6d 6c,3.17692,44.91,227.437,94.8332,55.09,1033.06,148.597,49.73,50.27
7c 6d 2c,2.78613,44.61,232.643,97.6529,55.39,1027.86,147.051,49.70,50.30
7c 6d 3c,0.89237,42.66,193.883,85.1114,57.34,1066.62,147.394,51.18,48.82
7c 6d 4c,2.41406,44.40,225.191,94.9806,55.60,1035.31,147.546,55.43,44.57
7c 6d 5c,1.08984,43.60,220.853,94.8513,56.40,1039.65,146.074,55.84,44.16
7d 7c 2c,1.49889,44.16,238.175,101.009,55.84,1022.33,145.063,48.48,51.52
7d 7c 3c,1.87929,44.21,240.611,101.93,55.79,1019.89,144.844,48.77,51.23
7d 7c 4c,1.23218,44.04,230.245,97.8946,55.96,1030.26,145.895,48.96,51.04
7d 7c 5c,0.68454,43.98,233.409,99.3926,56.02,1027.09,145.271,47.83,52.17
7d 7c 6c,3.37359,45.39,234.703,96.8375,54.61,1025.79,148.836,50.44,49.56
7h 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 3c 2c,3.51868,42.82,218.877,95.7309,57.18,1041.63,144.337,50.33,49.67
7d 4c 2c,2.42694,43.34,225.166,97.2967,56.66,1035.33,144.785,49.06,50.94
7d 4c 3c,1.63952,42.82,218.924,95.751,57.18,1041.58,144.332,54.49,45.51
7d 5c 2c,1.1092,43.48,231.729,99.8052,56.52,1028.77,144.23,49.71,50.29
7d 5c 3c,1.93643,42.75,216.226,94.7133,57.25,1044.27,144.541,55.56,44.44
7d 5c 4c,0.99096,42.44,205.767,90.785,57.56,1054.73,145.21,55.16,44.84
7d 6c 2c,2.78558,44.66,233.921,98.0812,55.34,1026.58,146.999,49.51,50.49
7d 6c 3c,0.74738,41.59,182.049,81.976,58.41,1078.45,146.297,50.79,49.21
