Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
7c 4d 3c,6.17319,52.94,78.5658,145.504,47.06,21.9342,69.561,0.00,63.60,36.40
7c 5c 2c,8.38384,53.72,80.9968,147.829,46.28,19.5031,62.893,0.00,55.25,44.75
7c 5c 2d,9.99423,52.65,77.9456,145.144,47.35,22.5543,71.0936,0.00,65.11,34.89
7c 5c 3c,6.01229,54.45,82.5966,148.711,45.55,17.9034,58.6672,0.00,56.92,43.08
7c 5c 3d,7.51589,53.41,78.6165,144.298,46.59,21.8835,70.1108,0.00,64.64,35.36
7c 5c 4c,4.77194,55.63,83.3914,146.967,44.37,17.1086,57.5496,0.00,57.14,42.86
7c 5c 4d,4.98031,54.82,79.3192,141.862,45.18,21.1808,69.9663,0.00,64.06,35.94
7c 5d 5c,7.91692,52.92,77.0448,142.744,47.08,23.4552,74.3515,0.00,62.86,37.14
7c 5d 2c,10.345,52.73,77.9418,144.926,47.27,22.5582,71.2205,0.00,65.27,34.73
7c 5d 3c,7.96715,53.41,78.5276,144.146,46.59,21.9724,70.3894,0.00,64.78,35.22
7c 5d 4c,5.31769,54.83,79.3063,141.806,45.17,21.1937,70.0286,0.00,64.04,35.96
7c 6c 2c,8.95595,52.19,80.0544,150.396,47.81,20.4455,63.8213,0.00,56.06,43.94
7c 6c 2d,11.1698,52.84,77.83,144.398,47.16,22.67,71.7515,0.00,65.05,34.95
7c 6c 3c,6.51638,53.17,81.374,150.044,46.83,19.1261,60.9574,0.00,57.54,42.46
7c 6c 3d,6.94373,53.43,78.338,143.735,46.57,22.162,71.0325,0.00,64.82,35.18
7c 6c 4c,5.15189,55.41,83.0561,146.956,44.59,17.4439,58.3883,0.00,57.34,42.66
7c 6c 4d,5.46471,54.95,78.7412,140.475,45.05,21.7588,72.0955,0.00,64.33,35.67
7c 6c 5c,4.56528,56.28,81.8091,142.506,43.72,18.6909,63.8107,0.00,57.71,42.29
7c 6c 5d,4.242,55.78,77.7544,136.66,44.22,22.7456,76.7731,0.00,63.04,36.96
7c 6d 6c,10.7432,53.12,77.212,142.491,46.88,23.288,74.1508,0.00,63.25,36.75
7c 6d 2c,11.0566,53.03,77.8661,143.966,46.97,22.6339,71.916,0.00,64.99,35.01
7c 6d 3c,6.83396,53.56,78.23,143.205,46.44,22.27,71.5686,0.00,64.96,35.04
7c 6d 4c,5.32164,55.09,78.6119,139.897,44.91,21.8881,72.7438,0.00,64.25,35.75
7c 6d 5c,3.80234,55.90,77.6742,136.231,44.10,22.8258,77.2504,0.00,63.10,36.90
7d 7c 2c,9.81043,51.84,79.6822,150.698,48.16,20.8178,64.5152,0.00,64.01,35.99
7d 7c 3c,9.4261,51.71,79.1902,150.136,48.29,21.3098,65.8659,0.00,64.14,35.86
7d 7c 4c,8.62336,52.06,78.5097,147.857,47.94,21.9903,68.4593,0.00,63.46,36.54
7d 7c 5c,9.52388,52.56,78.1546,145.774,47.44,22.3454,70.3057,0.00,63.32,36.68
7d 7c 6c,10.9956,53.07,78.0098,144.104,46.93,22.4902,71.531,0.00,63.36,36.64
7h 7d 7c,12.0297,54.22,85.1995,154.057,45.78,15.3005,49.8828,0.00,67.73,32.27
7d 3c 2c,13.0552,52.40,78.1911,146.283,47.60,22.3089,69.957,0.00,65.79,34.21
7d 4c 2c,10.5937,52.52,78.3407,146.23,47.48,22.1593,69.6625,0.00,65.08,34.92
7d 4c 3c,6.16066,52.94,78.5443,145.45,47.06,21.9557,69.6369,0.00,63.69,36.31
7d 5c 2c,10.0418,52.70,77.9349,144.974,47.30,22.5651,71.2092,0.00,65.21,34.79
7d 5c 3c,7.59054,53.41,78.5854,144.248,46.59,21.9146,70.2065,0.00,64.86,35.14
7d 5c 4c,5.67553,54.70,79.2251,141.994,45.30,21.2749,70.097,0.00,64.20,35.80
7d 6c 2c,11.1007,53.06,77.926,143.987,46.94,22.574,71.7768,0.00,64.97,35.03
7d 6c 3c,6.53135,53.59,78.2705,143.191,46.41,22.2295,71.4892,0.00,64.95,35.05
7d 6c 4c,5.27949,55.05,78.7178,140.191,44.95,21.7822,72.3255,0.00,64.36,35.64
7d 6c 5c,4.1641,55.87,77.8372,136.588,44.13,22.6628,76.6476,0.00,63.18,36.82
7h 7d 2c,10.3257,49.14,79.6786,158.954,50.86,20.8214,61.1073,0.00,67.16,32.84
7h 7d 3c,9.50616,49.13,79.1983,158.053,50.87,21.3017,62.4951,0.00,66.69,33.31
7h 7d 4c,9.40264,50.30,78.1837,152.385,49.70,22.3163,67.0189,0.00,65.83,34.17
7h 7d 5c,10.3509,51.36,77.5647,148.068,48.64,22.9353,70.374,0.00,65.73,34.27
7h 7d 6c,10.3146,51.58,77.5854,147.471,48.42,22.9146,70.6324,0.00,65.41,34.59
7h 2d 2c,20.2815,52.47,77.5509,144.913,47.53,22.9491,72.0588,0.00,69.95,30.05
7h 3d 3c,16.9687,51.24,77.0907,147.513,48.76,23.4093,71.6493,0.00,69.23,30.77
7h 3d 2c,11.4079,50.60,77.6175,150.384,49.40,22.8825,69.1368,0.00,70.62,29.38
7h 4d 4c,9.69192,51.14,76.9448,147.507,48.86,23.5552,71.9556,0.00,66.08,33.92
7h 4d 2c,8.68543,50.77,78.2136,151.047,49.23,22.2864,67.5615,0.00,68.75,31.25
7h 4d 3c,4.02964,50.71,78.5591,151.883,49.29,21.9409,66.4377,0.00,66.38,33.62
7h 5d 5c,8.52026,51.66,76.8789,145.895,48.34,23.6211,72.9341,0.00,64.88,35.12
7h 5d 2c,8.95087,51.29,77.4316,148.017,48.71,23.0684,70.6802,0.00,68.66,31.34
7h 5d 3c,5.64722,51.75,78.7921,149.256,48.25,21.7079,67.1565,0.00,67.45,32.55
7h 5d 4c,3.16606,53.17,79.5479,146.665,46.83,20.9521,66.783,0.00,65.23,34.77
7h 6d 6c,10.0438,51.62,76.7959,145.857,48.38,23.7041,73.1261,0.00,65.24,34.76
7h 6d 2c,9.802,51.41,76.9452,146.73,48.59,23.5548,72.3559,0.00,67.95,32.05
7h 6d 3c,4.53388,51.62,78.1755,148.47,48.38,22.3245,68.874,0.00,67.46,32.54
7h 6d 4c,2.95781,53.42,78.8094,144.648,46.58,21.6906,69.495,0.00,65.73,34.27
7h 6d 5c,2.02572,54.98,77.987,139.071,45.02,22.513,74.6326,0.00,64.17,35.83
8c 2d 2c,22.6014,54.21,77.8852,140.844,45.79,22.6148,73.7213,0.00,65.42,34.58
8c 3c 2c,10.1624,52.72,81.128,150.881,47.28,19.372,61.1477,0.00,55.30,44.70
8c 3c 2d,14.4048,52.65,77.8762,145.007,47.35,22.6238,71.3168,0.00,66.23,33.77
8c 3d 3c,21.6876,54.07,77.7979,141.071,45.93,22.7021,73.7674,0.00,65.14,34.86
8c 3d 2c,14.3043,52.65,77.9197,145.098,47.35,22.5803,71.1739,0.00,66.20,33.80
