Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
8c 4c 3c,36.2608,49.41,23.0143,77.6274,50.59,30.0332,98.9473,51.45,48.55
8c 4c 3d,69.7486,51.48,22.6071,73.1849,48.52,29.2976,100.646,54.75,45.25
8c 4d 4c,66.0054,53.34,24.0374,75.103,46.66,28.2085,100.766,58.24,41.76
8c 4d 2c,63.9609,51.42,22.5274,73.0152,48.58,29.3854,100.819,54.55,45.45
8c 4d 3c,66.5913,51.41,22.5495,73.1039,48.59,29.3635,100.718,54.57,45.43
8c 5c 2c,39.8355,49.41,23.0261,77.6759,50.59,30.0015,98.8318,51.14,48.86
8c 5c 2d,71.3669,51.13,22.4478,73.1659,48.87,29.3765,100.195,54.69,45.31
8c 5c 3c,43.6366,49.75,23.1795,77.6612,50.25,29.8233,98.9067,51.39,48.61
8c 5c 3d,73.8455,51.17,22.4819,73.2301,48.83,29.3415,100.143,55.48,44.52
8c 5c 4c,67.3589,49.52,22.9527,77.2553,50.48,30.0251,99.126,53.11,46.89
8c 5c 4d,99.6057,51.07,22.1872,72.4073,48.93,29.6029,100.835,58.23,41.77
8c 5d 5c,74.0965,52.81,23.7619,74.9863,47.19,28.486,100.615,60.07,39.93
8c 5d 2c,64.2005,50.95,22.3851,73.232,49.05,29.47,100.127,53.93,46.07
8c 5d 3c,68.2963,51.02,22.415,73.224,48.98,29.4226,100.116,54.98,45.02
8c 5d 4c,98.8829,51.09,22.3238,72.8255,48.91,29.5007,100.527,56.77,43.23
8c 6c 2c,36.6351,49.35,22.9424,77.4893,50.65,30.1626,99.243,49.28,50.72
8c 6c 2d,77.163,51.51,22.807,73.8006,48.49,29.0553,99.8585,53.91,46.09
8c 6c 3c,43.1658,49.68,23.1133,77.5431,50.32,29.9255,99.1145,49.57,50.43
8c 6c 3d,77.6971,51.44,22.7431,73.6925,48.56,29.125,99.956,54.17,45.83
8c 6c 4c,63.0313,49.59,23.0715,77.5374,50.41,29.9272,98.9505,50.89,49.11
8c 6c 4d,94.3231,51.17,22.7407,74.0653,48.83,29.1274,99.4232,54.74,45.26
8c 6c 5c,74.7635,49.72,23.0631,77.3123,50.28,29.9457,99.2605,50.53,49.47
8c 6c 5d,98.5674,50.76,22.3535,73.3953,49.24,29.5377,99.9799,57.58,42.42
