Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 50 freq,CALL freq,FOLD freq
7c 5c 3c,42.6947,48.04,19.1743,79.828,51.96,41.3258,128.277,12.87,64.65,22.48
7c 5c 3d,28.9218,46.43,17.1063,73.6913,53.57,43.3937,130.644,17.67,63.76,18.56
7c 5c 4c,44.2936,47.83,18.7764,78.5069,52.17,41.7237,129.003,13.05,64.24,22.70
7c 5c 4d,30.4609,46.82,17.2594,73.7211,53.18,43.2406,131.154,16.93,63.93,19.14
7c 5d 5c,40.8144,46.16,17.2953,74.9368,53.84,43.2048,129.429,18.28,62.41,19.31
7c 5d 2c,41.2805,46.19,16.854,72.9732,53.81,43.646,130.83,16.31,65.99,17.70
7c 5d 3c,30.0518,46.49,17.1074,73.6,53.51,43.3927,130.788,17.62,63.76,18.62
7c 5d 4c,30.8264,46.89,17.2632,73.6404,53.11,43.2368,131.294,17.01,63.85,19.14
7c 6c 2c,62.7092,47.65,18.9269,79.4442,52.35,41.5731,128.082,11.76,64.71,23.53
7c 6c 2d,50.2649,46.54,16.9653,72.9036,53.46,43.5347,131.349,17.11,64.84,18.05
7c 6c 3c,56.5416,47.54,18.5868,78.1917,52.46,41.9132,128.868,12.72,65.19,22.09
7c 6c 3d,47.205,46.38,16.6651,71.8584,53.62,43.835,131.864,16.89,66.04,17.07
7c 6c 4c,33.5861,47.93,19.0931,79.6629,52.07,41.4069,128.272,13.50,64.13,22.37
7c 6c 4d,18.576,46.99,17.5514,74.6995,53.01,42.9486,130.682,19.04,61.08,19.88
7c 6c 5c,46.3374,47.71,18.7291,78.5062,52.29,41.7709,128.853,14.30,63.47,22.22
7c 6c 5d,35.1864,46.79,17.0146,72.721,53.21,43.4854,131.823,16.48,66.20,17.32
7c 6d 6c,62.6727,46.32,17.4157,75.2029,53.68,43.0843,129.445,18.20,63.58,18.23
7c 6d 2c,50.7228,46.64,17.0598,73.162,53.36,43.4402,131.296,17.35,64.23,18.42
7c 6d 3c,47.8162,46.45,16.7519,72.129,53.55,43.7482,131.767,16.93,65.89,17.18
7c 6d 4c,17.7023,47.05,17.6095,74.8545,52.95,42.8905,130.648,19.06,61.07,19.88
7c 6d 5c,34.4101,46.81,17.0937,73.0339,53.19,43.4063,131.624,16.61,65.89,17.50
7d 7c 2c,54.2636,45.71,17.2809,75.6133,54.29,43.2191,128.396,17.96,60.52,21.52
7d 7c 3c,55.0045,46.11,17.203,74.6179,53.89,43.297,129.585,17.78,61.38,20.84
7d 7c 4c,46.1503,46.08,17.2586,74.9111,53.92,43.2414,129.342,18.28,61.43,20.29
7d 7c 5c,45.5593,46.28,17.2156,74.403,53.72,43.2844,129.95,18.18,62.34,19.48
7d 7c 6c,56.3181,46.20,17.34,75.0596,53.80,43.16,129.4,18.86,61.53,19.61
7h 7d 7c,99.7913,46.25,16.8862,73.0274,53.75,43.6139,130.865,10.19,85.93,3.88
7d 3c 2c,55.0295,46.11,16.8109,72.9168,53.89,43.6891,130.759,16.42,64.78,18.80
7d 4c 2c,45.3535,46.09,16.8657,73.1811,53.91,43.6343,130.555,16.46,65.27,18.27
7d 4c 3c,41.568,46.16,16.7506,72.5685,53.84,43.7494,131.073,16.66,65.29,18.05
7d 5c 2c,40.1813,46.18,16.9247,73.3062,53.82,43.5753,130.577,16.47,65.65,17.88
7d 5c 3c,28.0422,46.52,17.1957,73.9275,53.48,43.3043,130.603,17.87,63.32,18.80
7d 5c 4c,33.2696,46.86,17.3043,73.8548,53.14,43.1957,131.108,16.90,63.90,19.20
7d 6c 2c,50.9989,46.63,17.0675,73.2112,53.37,43.4325,131.247,17.35,64.30,18.34
7d 6c 3c,46.5853,46.47,16.7681,72.1643,53.53,43.7319,131.773,17.09,65.61,17.30
7d 6c 4c,18.057,47.06,17.6127,74.8556,52.94,42.8873,130.658,18.97,61.21,19.83
7d 6c 5c,35.5214,46.81,17.0945,73.0387,53.19,43.4055,131.619,16.49,66.15,17.37
7h 7d 2c,60.4672,45.47,16.9321,74.4838,54.53,43.5679,128.855,16.33,67.55,16.12
7h 7d 3c,58.9112,45.92,16.7481,72.9481,54.08,43.752,130.482,16.28,67.36,16.36
7h 7d 4c,54.5436,46.00,16.8341,73.1935,54.00,43.6659,130.421,16.73,66.81,16.45
7h 7d 5c,50.4935,46.21,16.8516,72.9338,53.79,43.6484,130.882,17.08,66.43,16.49
7h 7d 6c,60.0961,45.97,16.9072,73.5563,54.03,43.5928,130.135,17.24,66.78,15.98
7h 2d 2c,72.0674,45.64,16.7489,73.3993,54.36,43.7511,129.808,13.29,79.96,6.75
7h 3d 3c,68.7789,46.02,16.4763,71.6102,53.98,44.0237,131.533,14.46,74.33,11.21
7h 3d 2c,57.2299,45.79,16.1899,70.7094,54.21,44.3101,131.842,13.83,76.34,9.83
7h 4d 4c,48.6662,45.64,16.5964,72.7285,54.36,43.9036,130.263,16.49,68.48,15.03
7h 4d 2c,43.9764,45.67,16.2209,71.0382,54.33,44.2791,131.447,14.30,73.88,11.82
7h 4d 3c,43.9395,45.93,16.2321,70.6876,54.07,44.2679,132.041,15.89,69.11,15.01
7h 5d 5c,45.508,46.01,16.8323,73.1755,53.99,43.6677,130.442,17.08,67.18,15.74
7h 5d 2c,40.7667,45.70,16.2671,71.1846,54.30,44.2329,131.397,14.73,72.99,12.27
7h 5d 3c,28.9672,46.21,16.7302,72.4144,53.79,43.7699,131.236,17.20,66.49,16.31
7h 5d 4c,32.6731,46.83,17.1994,73.4478,53.17,43.3007,131.362,16.55,66.01,17.44
7h 6d 6c,66.3795,46.10,16.8975,73.3008,53.90,43.6025,130.487,17.04,68.28,14.68
7h 6d 2c,52.4932,46.22,16.4292,71.0906,53.78,44.0708,132.173,15.59,72.28,12.13
7h 6d 3c,49.8232,46.27,16.2497,70.2398,53.73,44.2503,132.831,16.96,68.09,14.95
7h 6d 4c,16.8757,46.81,17.4323,74.4878,53.19,43.0677,130.586,19.33,62.11,18.56
7h 6d 5c,35.9961,46.66,16.8143,72.0677,53.34,43.6857,132.104,16.01,68.27,15.71
8c 2d 2c,77.5956,45.31,17.1551,75.7208,54.69,43.3449,127.835,17.25,64.69,18.06
8c 3c 2c,66.1863,46.89,18.7382,79.9287,53.11,41.7618,126.82,12.81,60.21,26.99
8c 3c 2d,63.9006,45.58,16.7649,73.5679,54.42,43.7351,129.614,17.60,62.44,19.96
8c 3d 3c,78.3135,45.60,16.9902,74.5162,54.40,43.5098,129.005,17.01,63.68,19.30
8c 3d 2c,63.4123,45.60,16.7985,73.6751,54.40,43.7015,129.574,17.63,62.31,20.06
8c 4c 2c,69.895,47.35,18.8642,79.6817,52.65,41.6358,127.546,12.20,62.57,25.23
8c 4c 2d,57.678,45.93,16.8088,73.1969,54.07,43.6912,130.325,17.15,64.49,18.36
8c 4c 3c,65.5105,47.41,18.8766,79.6327,52.59,41.6234,127.654,12.80,61.59,25.61
8c 4c 3d,56.124,46.02,16.8566,73.2635,53.98,43.6434,130.396,18.03,62.21,19.76
8c 4d 4c,54.4831,45.51,17.0808,75.0592,54.49,43.4192,128.527,18.59,60.70,20.71
8c 4d 2c,55.6672,46.01,16.8895,73.4235,53.99,43.6105,130.272,17.33,63.85,18.82
8c 4d 3c,54.6588,46.05,16.9057,73.4191,53.95,43.5943,130.337,18.08,62.01,19.91
8c 5c 2c,54.278,47.35,19.0838,80.6154,52.65,41.4162,126.865,13.49,61.54,24.96
8c 5c 2d,44.1701,45.56,16.8975,74.1734,54.44,43.6025,129.187,18.52,61.97,19.51
8c 5c 3c,53.4812,47.44,19.0755,80.4234,52.56,41.4245,127.113,13.92,60.76,25.32
8c 5c 3d,44.5738,45.71,16.9115,74.0009,54.29,43.5885,129.488,18.85,60.89,20.26
