Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
6h 6d 5c,9.19099,49.99,78.4165,153.777,50.01,22.0835,65.9125,0.00,65.06,34.94
6h 2d 2c,19.7587,51.46,77.3473,147.345,48.54,23.1527,71.1983,0.00,70.10,29.90
6h 3d 3c,19.1695,50.35,78.3085,152.467,49.65,22.1915,66.7153,0.00,69.30,30.70
6h 3d 2c,8.82878,50.22,78.6292,153.509,49.78,21.8708,65.5707,0.00,70.65,29.35
6h 4d 4c,13.5586,50.20,77.7742,151.887,49.80,22.7258,68.1123,0.00,67.00,33.00
6h 4d 2c,5.92433,50.69,79.8664,154.464,49.31,20.6336,62.457,0.00,68.62,31.38
6h 4d 3c,2.12016,51.80,79.4983,150.47,48.20,21.0017,65.029,0.00,66.15,33.85
6h 5d 5c,9.52837,50.39,77.3689,150.528,49.61,23.1311,69.5914,0.00,64.87,35.13
6h 5d 2c,5.5995,50.67,79.6705,154.162,49.33,20.8295,63.0173,0.00,67.20,32.80
6h 5d 3c,1.32598,51.90,79.9941,151.107,48.10,20.5059,63.6307,0.00,65.06,34.94
6h 5d 4c,2.15166,52.99,77.8083,143.955,47.01,22.6917,72.0456,0.00,64.42,35.58
7c 2d 2c,20.325,53.44,77.5778,142.327,46.56,22.9222,73.4765,0.00,65.91,34.09
7c 3c 2c,11.4208,52.48,80.7022,150.767,47.52,19.7978,62.1794,0.00,55.01,44.99
7c 3c 2d,17.4227,52.00,78.4665,147.928,48.00,22.0335,68.5172,0.00,66.03,33.97
7c 3d 3c,20.8359,52.65,78.2847,145.765,47.35,22.2153,70.0303,0.00,65.69,34.31
7c 3d 2c,17.09,51.99,78.478,147.975,48.01,22.022,68.4687,0.00,65.95,34.05
7c 4c 2c,10.9507,53.26,80.6151,148.397,46.74,19.8849,63.4962,0.00,54.91,45.09
7c 4c 2d,12.9341,52.05,79.4401,149.627,47.95,21.0599,65.5546,0.00,65.18,34.82
7c 4c 3c,7.20803,53.65,81.1943,148.382,46.35,19.3057,62.1626,0.00,56.80,43.20
7c 4c 3d,6.61542,52.66,79.2114,147.481,47.34,21.2886,67.1137,0.00,63.56,36.44
7c 4d 4c,14.3477,52.15,78.384,147.354,47.85,22.116,68.9861,0.00,64.23,35.77
7c 4d 2c,13.3199,52.01,79.343,149.563,47.99,21.1571,65.8004,0.00,65.35,34.65
7c 4d 3c,6.96694,52.63,79.241,147.619,47.37,21.259,66.9786,0.00,63.74,36.26
7c 5c 2c,10.2055,53.38,80.3989,147.657,46.62,20.1011,64.3563,0.00,55.30,44.70
