Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\3c2c2d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 12 freq,CHECK freq
8h 6d 5c,100,49.73,23.1264,93.0086,50.27,25.3736,100.948,30.29,69.71
8h 7d 7c,100,46.44,19.5342,84.1201,53.56,28.9658,108.169,68.35,31.65
8h 7d 2c,100,47.36,19.8376,83.7716,52.64,28.6625,108.902,63.29,36.71
8h 7d 3c,100,47.68,19.7381,82.792,52.32,28.7619,109.948,64.25,35.75
8h 7d 4c,100,48.37,20.7167,85.6545,51.63,27.7833,107.63,56.53,43.47
8h 7d 5c,100,49.28,22.4042,90.9248,50.72,26.0959,102.903,37.62,62.38
8h 7d 6c,100,48.73,21.3358,87.5724,51.27,27.1642,105.959,54.50,45.50
9c 2d 2c,100,47.23,19.4978,82.5695,52.77,29.0022,109.914,74.15,25.85
9c 3c 2c,100,48.27,21.0959,87.4,51.73,27.4042,105.96,56.70,43.30
9c 3c 2d,100,48.28,20.4861,84.8554,51.72,28.0139,108.339,60.79,39.21
9c 3d 3c,100,47.40,19.1906,80.9742,52.60,29.3094,111.441,76.56,23.44
9c 3d 2c,100,48.33,20.5487,85.0401,51.67,27.9514,108.186,60.29,39.71
9c 4c 2c,100,48.67,21.1073,86.7315,51.33,27.3927,106.737,59.86,40.14
9c 4c 2d,100,49.04,21.0893,86.0133,50.96,27.4107,107.571,56.63,43.37
9c 4c 3c,100,48.82,21.3189,87.332,51.18,27.1812,106.223,55.84,44.16
9c 4c 3d,100,49.05,21.1787,86.3491,50.95,27.3213,107.255,53.96,46.04
9c 4d 4c,100,48.35,21.0028,86.8734,51.65,27.4972,106.481,54.32,45.68
9c 4d 2c,100,49.15,21.2889,86.622,50.85,27.2111,107.032,54.57,45.43
9c 4d 3c,100,49.13,21.3138,86.772,50.87,27.1863,106.877,52.52,47.48
9c 5c 2c,100,48.95,21.6397,88.4198,51.05,26.8603,105.226,50.51,49.49
9c 5c 2d,100,49.15,21.5299,87.616,50.85,26.9701,106.069,50.60,49.40
9c 5c 3c,100,49.15,21.7583,88.5369,50.85,26.7417,105.181,49.57,50.43
9c 5c 3d,100,49.37,21.7379,88.0583,50.63,26.7621,105.72,47.95,52.05
9c 5c 4c,100,49.12,21.048,85.6957,50.88,27.452,107.915,62.94,37.06
9c 5c 4d,100,50.00,21.6392,86.5564,50.00,26.8608,107.444,51.57,48.43
9c 5d 5c,100,48.32,21.1122,87.3921,51.68,27.3878,105.982,53.90,46.10
9c 5d 2c,100,49.20,21.5782,87.708,50.80,26.9219,106.001,50.37,49.63
9c 5d 3c,100,49.39,21.7217,87.9675,50.61,26.7783,105.813,48.27,51.73
9c 5d 4c,100,49.94,21.4947,86.083,50.06,27.0053,107.891,53.35,46.65
9c 6c 2c,100,48.43,21.2044,87.5732,51.57,27.2956,105.852,54.14,45.86
9c 6c 2d,100,48.52,21.011,86.6117,51.48,27.489,106.79,53.06,46.94
9c 6c 3c,100,48.52,21.229,87.5043,51.48,27.271,105.95,53.09,46.91
9c 6c 3d,100,48.59,20.9742,86.3246,51.41,27.5258,107.092,52.31,47.69
9c 6c 4c,100,48.92,21.3712,87.369,51.08,27.1289,106.224,54.42,45.58
9c 6c 4d,100,49.30,21.7094,88.0714,50.70,26.7906,105.682,46.15,53.85
9c 6c 5c,100,49.17,21.5064,87.4824,50.83,26.9936,106.206,51.70,48.30
9c 6c 5d,100,49.78,22.0717,88.671,50.22,26.4283,105.257,43.43,56.57
9c 6d 6c,100,47.23,19.5802,82.914,52.77,28.9199,109.607,72.46,27.54
