Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 60 freq,CALL freq,FOLD freq
7c 6d 4c,10.7473,54.40,45.1556,110.678,45.60,19.7026,72.0108,10.06,79.28,10.66
7c 6d 5c,5.32439,54.68,45.468,110.866,45.32,19.5466,71.887,9.82,79.48,10.70
7d 7c 2c,11.2453,55.58,44.9043,107.723,44.42,20.8221,78.1263,19.80,64.79,15.41
7d 7c 3c,4.37938,55.73,44.954,107.559,44.27,20.6725,77.8213,19.76,65.55,14.68
7d 7c 4c,3.82137,55.70,45.0065,107.734,44.30,20.588,77.4579,18.83,67.31,13.86
7d 7c 5c,1.38882,55.80,45.1742,107.935,44.20,20.4028,76.9414,20.14,65.53,14.33
7d 7c 6c,5.89448,55.58,44.9759,107.889,44.42,20.5548,77.1277,17.41,68.49,14.10
7h 7d 7c,60.7024,57.41,45.0885,104.71,42.59,19.8227,77.5789,14.82,77.11,8.07
7d 3c 2c,29.6797,54.87,45.0906,109.564,45.13,19.8522,73.3194,11.32,78.08,10.60
7d 4c 2c,23.8223,55.04,45.0339,109.099,44.96,19.8488,73.5757,10.62,79.61,9.77
7d 4c 3c,2.47759,54.43,45.171,110.662,45.57,19.6923,72.0142,12.14,77.80,10.06
7d 5c 2c,16.0676,55.27,45.1422,108.91,44.73,19.7292,73.5049,11.41,77.98,10.61
7d 5c 3c,10.7914,55.11,44.9467,108.746,44.89,19.9586,74.1005,11.05,78.69,10.27
7d 5c 4c,0.00306,56.06,51.3955,122.248,43.94,12.034,45.641,18.91,72.68,8.41
7d 6c 2c,24.466,54.64,45.074,109.982,45.36,19.7947,72.739,10.47,78.09,11.44
7d 6c 3c,3.12642,54.18,45.2806,111.442,45.82,19.395,70.5406,11.71,77.74,10.55
7d 6c 4c,10.5132,54.40,45.1384,110.629,45.60,19.7332,72.1274,9.86,79.54,10.60
7d 6c 5c,6.82715,54.67,45.3849,110.688,45.33,19.6288,72.1706,9.75,79.53,10.72
7h 7d 2c,12.3561,55.73,44.9945,107.649,44.27,20.3862,76.7496,19.21,69.74,11.06
7h 7d 3c,4.62619,55.42,44.9832,108.228,44.58,20.3191,75.9611,19.92,68.62,11.46
7h 7d 4c,0.74869,55.37,45.1583,108.75,44.63,20.0734,74.9564,20.27,68.38,11.35
7h 7d 5c,0.42662,55.98,45.569,108.543,44.02,19.7209,74.6607,21.38,65.97,12.64
7h 7d 6c,1.2244,55.52,44.7861,107.56,44.48,20.4258,76.5315,19.53,68.51,11.96
7h 2d 2c,14.8013,56.38,46.0882,108.998,43.62,18.7701,71.7153,16.91,73.48,9.62
7h 3d 3c,2.51528,55.80,46.1751,110.334,44.20,18.6536,70.3384,18.11,72.06,9.83
7h 3d 2c,15.5906,55.42,45.9056,110.448,44.58,18.6015,69.5399,10.47,83.43,6.10
7h 4d 4c,11.2797,55.55,45.4362,109.049,44.45,19.5796,73.4215,15.95,74.59,9.46
7h 4d 2c,9.24847,55.49,45.7788,110.009,44.51,18.6441,69.8049,9.77,85.40,4.83
7h 4d 3c,0.02384,52.74,48.7097,123.136,47.26,15.2428,53.7593,16.48,76.42,7.10
7h 5d 5c,10.7077,55.73,45.1394,107.986,44.27,20.123,75.7667,17.72,70.84,11.45
7h 5d 2c,7.14947,55.63,45.7864,109.741,44.37,18.6212,69.9465,11.00,82.67,6.32
7h 5d 3c,2.70117,55.64,45.4172,108.828,44.36,19.1021,71.7756,11.55,80.92,7.53
7h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 6c,8.69691,55.72,45.022,107.724,44.27,20.1026,75.6734,17.31,71.39,11.31
7h 6d 2c,13.4442,54.86,45.302,110.094,45.14,19.1203,70.6043,10.37,81.92,7.71
7h 6d 3c,0.04814,53.93,46.8864,115.926,46.07,17.1285,61.9613,15.35,76.09,8.56
7h 6d 4c,2.38294,54.93,45.4165,110.243,45.07,19.1552,70.8335,11.77,78.69,9.54
7h 6d 5c,0.54336,55.32,46.3088,111.62,44.68,18.4023,68.6405,11.36,79.51,9.13
8c 2d 2c,34.4697,56.57,45.3497,106.886,43.43,20.108,77.1679,20.73,60.88,18.39
8c 3c 2c,78.1441,54.68,44.7668,109.166,45.32,22.0901,81.2333,3.37,79.84,16.79
8c 3c 2d,41.1889,55.72,45.2052,108.169,44.28,19.783,74.4647,13.04,74.12,12.84
8c 3d 3c,26.3881,56.61,45.5613,107.316,43.39,19.9897,76.7775,21.22,60.28,18.50
8c 3d 2c,42.9461,55.70,45.2118,108.227,44.30,19.7852,74.4363,13.01,74.10,12.89
8c 4c 2c,69.2825,54.68,44.5927,108.744,45.32,22.1342,81.3929,4.46,79.48,16.07
8c 4c 2d,31.1219,55.89,45.2108,107.864,44.11,19.6211,74.131,12.37,76.37,11.26
