Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\AdKc2c.cfr
Action Line,Root BET 152 RAISE 366
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 580 freq,CALL freq,FOLD freq
7h 3d 2c,6.01938,47.93,298.592,116.672,52.07,447.907,114.991,30.51,11.61,16.05,41.82
7h 4d 4c,9.98576,47.42,283.356,111.897,52.58,463.143,117.762,30.13,11.84,14.50,43.53
7h 4d 2c,7.23951,48.23,300.629,116.731,51.77,445.873,115.138,27.06,15.41,14.16,43.37
7h 4d 3c,3.28471,48.71,299.145,115.007,51.29,447.355,116.604,22.65,19.18,15.11,43.06
7h 5d 5c,7.44923,47.54,282.733,111.365,52.46,463.766,118.193,33.51,8.80,14.59,43.09
7h 5d 2c,5.74407,48.33,301.72,116.92,51.67,444.78,115.07,33.60,9.00,14.59,42.81
7h 5d 3c,3.16473,48.53,292.544,112.889,51.47,453.955,117.909,23.94,19.03,13.46,43.57
7h 5d 4c,2.904,47.76,279.393,109.543,52.24,467.107,119.546,20.75,18.53,17.59,43.12
7h 6d 6c,5.14767,47.24,268.111,106.286,52.76,478.39,121.218,39.67,3.47,13.31,43.55
7h 6d 2c,3.62186,48.58,309.769,119.402,51.42,436.73,113.555,22.99,15.70,19.32,42.00
7h 6d 3c,1.54557,46.99,282.711,112.66,53.01,463.789,116.973,23.78,16.49,20.97,38.76
7h 6d 4c,2.44087,46.15,259.282,105.203,53.85,487.219,120.966,22.21,19.70,15.22,42.88
7h 6d 5c,0.75292,45.28,241.546,99.9054,54.72,504.954,123.36,23.68,21.15,10.79,44.38
8c 2d 2c,5.65406,48.00,286.169,111.639,52.00,460.33,118.356,26.25,21.04,4.92,47.79
8c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2d,2.3674,46.58,265.084,106.561,53.42,481.417,120.491,33.04,15.68,3.01,48.27
8c 3d 3c,5.48412,47.23,278.669,110.489,52.77,467.83,118.524,26.04,21.06,5.03,47.86
