Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 115
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 230 freq,CALL freq,FOLD freq
7c 3d 2c,0.71665,50.62,68.3056,58.667,49.38,275.194,161.54,4.31,18.29,39.20,38.21
7c 4c 2c,0.00108,21.93,-42.6245,-84.4962,78.07,386.123,143.363,0.06,20.20,38.45,41.28
7c 4c 2d,4.64157,50.29,65.3872,56.5305,49.71,278.113,162.165,4.94,15.26,41.44,38.36
7c 4c 3c,0.00001,23.38,7.58092,14.0983,76.62,335.929,127.08,0.14,17.91,40.64,41.30
7c 4c 3d,1.65392,49.60,62.7422,54.9994,50.40,280.758,161.463,1.44,23.30,35.37,39.89
7c 4d 4c,6.2255,49.83,65.8356,57.4456,50.17,277.664,160.414,1.08,20.81,40.33,37.78
7c 4d 2c,4.3725,50.32,66.2496,57.2376,49.68,277.25,161.773,3.79,18.27,38.87,39.07
7c 4d 3c,1.45942,49.41,62.6236,55.1084,50.59,280.877,160.92,1.14,24.37,34.43,40.07
7c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2d,1.00994,50.07,65.3899,56.7792,49.93,278.11,161.456,3.40,17.99,39.43,39.18
7c 5c 3c,0.00061,28.85,-13.7824,-20.7709,71.15,357.276,145.548,0.07,18.88,39.06,41.98
7c 5c 3d,0.78797,49.56,60.6333,53.1946,50.44,282.867,162.545,3.42,21.86,33.96,40.76
7c 5c 4c,0.00034,53.14,113.238,92.6503,46.86,230.261,142.427,0.09,21.37,37.42,41.12
7c 5c 4d,0.02203,45.46,55.9085,53.4673,54.54,287.592,152.85,3.83,27.03,28.67,40.47
7c 5d 5c,3.76964,49.37,64.17,56.5169,50.63,279.33,159.902,0.34,22.69,38.05,38.92
7c 5d 2c,1.90474,49.70,64.9786,56.8452,50.30,278.522,160.496,1.89,21.48,36.35,40.28
7c 5d 3c,0.66214,49.94,66.2244,57.6533,50.06,277.276,160.554,2.24,24.67,32.51,40.58
7c 5d 4c,0.00532,42.75,35.6923,36.3041,57.25,307.809,155.83,3.15,26.49,27.14,43.21
7c 6c 2c,0.00028,67.82,161.303,103.404,32.18,182.206,164.133,0.04,21.29,40.17,38.50
7c 6c 2d,0.25591,49.96,70.256,61.1449,50.04,273.244,158.267,2.23,24.42,30.46,42.89
7c 6c 3c,0.00062,21.21,-23.9214,-49.0471,78.79,367.421,135.16,0.07,19.07,36.52,44.34
7c 6c 3d,0.05307,48.69,64.2571,57.3796,51.31,279.242,157.745,0.77,29.16,28.47,41.61
7c 6c 4c,0.00041,53.26,115.926,94.6296,46.74,227.573,141.139,0.07,19.91,39.08,40.94
