Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 230 freq,BET 115 freq,BET 69 freq,CHECK freq
7c 6c 5d,86.7935,47.72,79.2276,72.1787,52.28,149.272,124.152,35.15,0.01,63.48,1.36
7c 6d 6c,35.7571,48.90,81.5494,72.5131,51.10,146.951,125.023,30.17,3.78,55.05,11.00
7c 6d 2c,50.8252,48.71,82.7773,73.8804,51.29,145.723,123.538,27.64,2.50,53.88,15.98
7c 6d 3c,69.3443,48.33,79.9635,71.9391,51.67,148.537,124.983,29.08,0.48,57.78,12.65
7c 6d 4c,64.9419,48.07,80.194,72.5289,51.93,148.306,124.176,35.07,0.06,51.16,13.71
7c 6d 5c,82.099,47.71,78.4404,71.4887,52.29,150.06,124.763,36.14,0.02,62.47,1.37
7d 7c 2c,35.5092,50.90,89.1817,76.1749,49.10,139.318,123.372,27.67,21.02,30.39,20.92
7d 7c 3c,40.9884,50.67,86.7775,74.4565,49.33,141.722,124.919,28.62,11.38,42.01,17.98
7d 7c 4c,36.9292,49.93,85.0277,74.0394,50.07,143.472,124.586,30.41,16.91,36.57,16.11
7d 7c 5c,37.7187,49.60,86.2594,75.6089,50.40,142.241,122.712,29.80,15.45,38.75,16.00
7d 7c 6c,33.7899,48.69,81.4173,72.7022,51.31,147.083,124.633,32.01,7.37,49.81,10.81
7h 7d 7c,19.1315,50.41,82.5839,71.2253,49.59,145.916,127.938,39.42,36.47,0.01,24.10
7d 3c 2c,45.2056,49.76,82.3869,71.9903,50.24,146.113,126.441,26.74,3.49,50.80,18.97
7d 4c 2c,42.8755,49.18,81.4117,71.9794,50.82,147.088,125.829,29.58,11.29,42.43,16.70
7d 4c 3c,63.7985,49.00,83.027,73.6636,51.00,145.473,124.03,27.54,1.28,52.26,18.93
7d 5c 2c,45.1836,48.71,81.7529,72.9776,51.29,146.747,124.388,29.17,7.13,48.43,15.27
7d 5c 3c,59.6398,48.79,82.3566,73.3969,51.21,146.143,124.068,29.54,1.84,50.67,17.95
7d 5c 4c,67.0122,48.62,83.1217,74.3304,51.38,145.378,123.022,29.33,0.01,53.82,16.84
7d 6c 2c,50.3802,48.72,82.6415,73.7442,51.28,145.858,123.678,27.54,0.98,55.59,15.90
7d 6c 3c,69.049,48.34,79.9963,71.9439,51.66,148.504,124.995,29.32,0.10,57.82,12.77
7d 6c 4c,64.7424,48.08,80.3214,72.6323,51.92,148.179,124.089,34.75,0.01,51.25,13.98
7d 6c 5c,84.6837,47.74,79.0959,72.0358,52.26,149.404,124.297,35.29,0.02,63.44,1.25
7h 7d 2c,27.9549,51.17,84.6121,71.9001,48.83,143.888,128.105,32.32,39.04,9.36,19.28
7h 7d 3c,32.7404,50.85,82.3937,70.4423,49.15,146.106,129.259,30.46,31.26,21.05,17.24
7h 7d 4c,32.1073,50.18,81.1497,70.3075,49.82,147.35,128.602,32.16,35.74,16.00,16.10
7h 7d 5c,32.3026,49.97,81.9917,71.3345,50.03,146.508,127.332,31.03,33.28,22.12,13.58
7h 7d 6c,25.4196,48.91,73.6971,65.5108,51.09,154.803,131.743,31.70,22.44,38.94,6.92
7h 2d 2c,31.7011,51.29,86.8205,73.5956,48.71,141.68,126.465,31.27,47.73,0.40,20.60
7h 3d 3c,30.5389,51.17,85.7938,72.8999,48.83,142.706,127.061,29.97,44.01,4.67,21.35
7h 3d 2c,43.1212,50.39,78.155,67.4415,49.62,150.345,131.749,30.14,27.69,26.54,15.63
7h 4d 4c,32.4518,50.39,82.1402,70.8684,49.61,146.36,128.279,33.31,35.50,13.04,18.15
7h 4d 2c,43.8335,49.82,78.0851,68.1394,50.18,150.415,130.338,32.40,33.42,20.53,13.64
7h 4d 3c,53.2078,49.41,75.914,66.7942,50.59,152.586,131.148,30.72,0.17,58.42,10.69
7h 5d 5c,33.2737,50.08,80.585,69.9656,49.92,147.915,128.821,33.04,26.24,26.40,14.32
7h 5d 2c,44.6423,49.26,77.1195,68.0643,50.74,151.38,129.722,31.36,28.67,28.86,11.11
7h 5d 3c,50.9529,49.27,76.2726,67.306,50.73,152.227,130.468,30.79,5.51,53.66,10.05
7h 5d 4c,56.0976,49.15,78.262,69.2247,50.85,150.238,128.469,29.87,0.02,60.40,9.71
7h 6d 6c,25.4224,48.82,73.2752,65.2552,51.18,155.225,131.871,31.72,22.96,38.88,6.45
7h 6d 2c,45.6499,49.22,74.6596,65.9504,50.78,153.84,131.719,29.56,11.49,53.22,5.73
7h 6d 3c,59.4503,48.38,71.5169,64.266,51.62,156.983,132.233,32.00,0.00,63.95,4.05
7h 6d 4c,58.1167,48.51,76.1626,68.264,51.49,152.337,128.632,34.52,0.01,57.00,8.48
7h 6d 5c,75.2132,47.56,72.1073,65.9179,52.44,156.393,129.667,37.35,0.00,62.50,0.15
8c 2d 2c,39.8445,49.92,87.7648,76.4361,50.08,140.735,122.188,30.17,32.45,22.44,14.93
8c 3c 2c,92.2738,51.71,109.102,91.7339,48.29,119.398,107.501,5.30,0.00,33.01,61.69
8c 3c 2d,46.6847,48.76,79.2186,70.6326,51.24,149.281,126.677,28.36,4.45,55.59,11.59
8c 3d 3c,39.4654,50.35,89.4962,77.2785,49.65,139.004,121.73,28.10,30.60,22.15,19.15
8c 3d 2c,46.4965,48.79,79.5125,70.8505,51.21,148.987,126.503,28.31,4.34,55.61,11.74
8c 4c 2c,83.3503,51.53,108.486,91.5315,48.47,120.014,107.658,7.60,0.00,35.73,56.67
8c 4c 2d,44.8312,47.83,76.4286,69.4804,52.17,152.071,126.726,32.56,7.96,51.58,7.90
8c 4c 3c,90.608,51.22,107.424,91.1923,48.78,121.076,107.91,9.19,0.00,37.92,52.88
8c 4c 3d,47.9723,47.96,76.2785,69.1536,52.04,152.222,127.173,31.50,3.59,56.73,8.19
8c 4d 4c,39.2304,48.89,83.1564,73.9477,51.11,145.344,123.647,30.48,10.52,49.56,9.43
8c 4d 2c,45.4009,47.95,77.3656,70.152,52.05,151.134,126.243,32.65,6.02,54.34,6.99
8c 4d 3c,48.5627,48.01,76.6281,69.398,51.99,151.872,127.003,31.62,1.48,59.57,7.33
8c 5c 2c,86.1503,51.31,108.272,91.7527,48.69,120.228,107.35,6.76,0.00,34.12,59.13
8c 5c 2d,46.7033,47.64,77.7071,70.9224,52.36,150.793,125.208,33.92,5.26,53.19,7.63
8c 5c 3c,92.669,51.01,107.277,91.4454,48.99,121.223,107.575,7.85,0.00,36.30,55.86
8c 5c 3d,50.0306,47.72,77.276,70.4098,52.28,151.224,125.76,32.98,1.52,57.11,8.39
8c 5c 4c,99.3368,50.09,104.591,90.7781,49.91,123.909,107.949,10.16,0.00,40.49,49.35
8c 5c 4d,63.1791,47.69,79.6604,72.622,52.31,148.84,123.715,30.75,0.06,57.74,11.45
8c 5d 5c,42.1661,48.63,83.5209,74.6709,51.37,144.979,122.71,30.43,3.71,54.56,11.29
8c 5d 2c,47.5021,47.71,78.4174,71.4674,52.29,150.083,124.783,33.01,2.45,57.82,6.72
8c 5d 3c,52.0477,47.86,78.7198,71.5087,52.14,149.78,124.905,32.28,0.14,59.95,7.62
8c 5d 4c,64.0784,47.71,80.0209,72.9224,52.29,148.479,123.459,30.18,0.01,57.70,12.11
8c 6c 2c,89.313,51.35,109.27,92.5259,48.65,119.23,106.548,2.89,0.00,29.66,67.44
8c 6c 2d,44.0468,47.76,78.0602,71.0668,52.24,150.44,125.201,32.42,0.56,60.79,6.22
8c 6c 3c,96.2541,51.10,108.952,92.7027,48.90,119.548,106.292,3.62,0.00,30.76,65.62
8c 6c 3d,48.8874,48.04,79.9287,72.3373,51.96,148.571,124.322,31.09,0.02,60.07,8.82
8c 6c 4c,90.6303,50.82,107.526,91.9901,49.18,120.974,106.951,7.94,0.00,33.55,58.52
8c 6c 4d,51.5254,47.35,78.2878,71.8846,52.65,150.212,124.048,36.15,0.05,57.98,5.83
8c 6c 5c,97.2675,50.37,106.519,91.9417,49.63,121.981,106.865,9.88,0.00,34.67,55.46
8c 6c 5d,59.9231,47.53,79.2651,72.501,52.47,149.235,123.671,35.75,0.04,60.17,4.04
8c 6d 6c,34.3898,48.84,82.4279,73.3758,51.16,146.072,124.144,32.04,15.09,43.87,9.00
8c 6d 2c,45.4042,47.87,79.0181,71.7656,52.13,149.482,124.679,31.65,0.02,62.58,5.75
8c 6d 3c,50.8183,48.12,80.6106,72.8328,51.88,147.889,123.943,30.93,0.29,60.09,8.69
8c 6d 4c,51.4764,47.36,78.0622,71.6573,52.64,150.438,124.265,36.34,0.05,57.89,5.72
8c 6d 5c,59.413,47.55,79.1629,72.3866,52.45,149.337,123.789,36.19,0.03,60.41,3.37
8c 7c 2c,95.1516,51.32,108.952,92.3019,48.68,119.548,106.776,6.07,0.00,32.24,61.69
8c 7c 2d,43.553,47.71,78.6967,71.7093,52.29,149.803,124.57,31.11,5.10,55.35,8.45
8c 7c 3c,99.28,51.09,107.98,91.893,48.91,120.52,107.135,7.13,0.00,35.64,57.23
8c 7c 3d,49.3242,48.15,80.2084,72.4245,51.85,148.292,124.351,30.04,0.17,59.88,9.91
8c 7c 4c,97.4247,50.26,104.825,90.6755,49.74,123.675,108.112,11.66,0.00,36.81,51.53
8c 7c 4d,58.2893,47.32,77.5516,71.2611,52.68,150.948,124.573,34.37,0.03,59.09,6.51
8c 7c 5c,96.1967,50.24,104.694,90.602,49.76,123.806,108.178,14.72,0.00,38.36,46.92
8c 7c 5d,60.2799,47.11,77.0769,71.1343,52.89,151.423,124.479,40.13,0.03,53.77,6.08
8c 7c 6c,99.9967,48.89,99.5129,88.4936,51.11,128.987,109.732,18.96,0.02,44.01,37.00
8c 7c 6d,88.5732,47.48,80.7971,73.9797,52.51,147.703,122.286,36.15,5.03,58.28,0.54
8c 7d 7c,28.2837,48.02,77.5768,70.235,51.98,150.923,126.246,38.36,9.07,47.76,4.81
8c 7d 2c,42.9338,47.86,79.3202,72.0606,52.14,149.18,124.393,30.38,0.92,60.77,7.93
8c 7d 3c,48.9467,48.25,80.6031,72.6335,51.75,147.897,124.254,30.02,2.67,56.17,11.15
8c 7d 4c,56.3012,47.37,77.7271,71.3425,52.63,150.773,124.554,34.95,0.04,57.99,7.03
8c 7d 5c,57.6953,47.17,77.2561,71.2055,52.83,151.244,124.478,41.69,0.04,52.91,5.37
8c 7d 6c,85.5393,47.53,80.768,73.8773,52.47,147.732,122.424,35.99,4.08,59.12,0.80
8d 8c 2c,39.981,49.98,84.6914,73.6782,50.02,143.809,124.994,29.89,9.05,48.22,12.84
8d 8c 3c,44.2318,50.13,85.1789,73.876,49.87,143.321,124.953,28.73,7.98,47.63,15.66
8d 8c 4c,39.0736,48.71,79.3648,70.8339,51.29,149.135,126.433,31.25,4.36,56.98,7.41
8d 8c 5c,41.0173,48.53,81.0928,72.6555,51.47,147.407,124.513,31.18,3.04,56.75,9.04
8d 8c 6c,34.3231,48.54,80.7988,72.3673,51.46,147.701,124.801,33.37,2.32,57.31,6.99
8d 8c 7c,31.426,48.04,78.2741,70.8405,51.96,150.226,125.705,37.74,2.15,56.11,4.00
8h 8d 8c,23.1959,50.29,79.4044,68.6455,49.71,149.096,130.412,38.31,43.42,0.01,18.27
8d 3c 2c,48.2229,48.87,79.5392,70.7583,51.13,148.961,126.678,28.43,2.10,58.39,11.08
8d 4c 2c,45.7214,47.94,76.8113,69.6564,52.06,151.689,126.694,32.42,5.91,54.90,6.76
8d 4c 3c,49.2208,48.05,76.3464,69.0894,51.95,152.154,127.329,31.49,1.31,60.18,7.03
8d 5c 2c,47.3846,47.67,77.7471,70.917,52.33,150.753,125.242,33.40,3.08,56.83,6.68
8d 5c 3c,51.6651,47.75,77.6563,70.7056,52.25,150.844,125.526,32.95,0.01,59.72,7.33
8d 5c 4c,66.9749,47.57,78.7692,72.0001,52.43,149.731,124.156,30.27,0.02,58.93,10.78
8d 6c 2c,45.6427,47.81,78.8201,71.6725,52.19,149.68,124.705,32.05,0.13,61.60,6.22
8d 6c 3c,51.4412,48.10,80.4093,72.6781,51.90,148.091,124.068,31.19,0.25,59.74,8.82
8d 6c 4c,52.6863,47.40,78.6433,72.1361,52.60,149.857,123.87,36.05,0.05,58.20,5.70
8d 6c 5c,62.23,47.54,79.1279,72.3597,52.46,149.372,123.809,35.83,0.02,60.57,3.59
8d 7c 2c,44.1751,47.90,79.2208,71.9093,52.10,149.279,124.574,30.50,0.45,61.35,7.69
8d 7c 3c,50.6303,48.33,80.7174,72.6181,51.67,147.783,124.347,30.14,2.75,55.91,11.20
8d 7c 4c,57.9396,47.40,77.5213,71.1092,52.60,150.979,124.794,34.50,0.03,59.23,6.23
8d 7c 5c,59.3039,47.17,76.9059,70.8891,52.83,151.594,124.756,40.70,0.04,53.82,5.44
8d 7c 6c,91.4871,47.54,81.7891,74.8044,52.46,146.711,121.588,35.80,4.27,59.44,0.49
8h 8d 2c,34.9899,50.33,79.0747,68.3136,49.67,149.425,130.791,33.21,31.94,24.31,10.54
8h 8d 3c,36.0282,50.51,79.7654,68.6575,49.49,148.735,130.674,32.53,27.09,28.90,11.48
8h 8d 4c,36.6,49.25,76.1262,67.2084,50.75,152.374,130.534,33.86,29.44,31.27,5.42
8h 8d 5c,36.9635,48.97,76.1048,67.5706,51.03,152.395,129.842,35.04,24.15,37.25,3.56
