Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 230 freq,BET 115 freq,BET 69 freq,CHECK freq
Ac 9d 8c,75.2856,54.47,107.875,86.1048,45.53,120.625,115.192,5.20,32.18,0.00,62.62
Ad Ac 2c,62.5474,57.76,125.76,94.6629,42.24,102.74,105.754,0.00,17.94,0.95,81.11
Ad Ac 3c,70.0174,57.06,123.338,93.98,42.94,105.162,106.481,0.00,16.01,5.50,78.49
Ad Ac 4c,66.1205,57.47,126.294,95.5396,42.53,102.206,104.494,0.00,14.19,5.24,80.57
Ad Ac 5c,69.9501,57.25,125.485,95.2939,42.75,103.015,104.777,0.00,15.82,3.92,80.27
Ad Ac 6c,67.7848,58.15,128.406,96.009,41.85,100.094,103.987,0.00,14.48,2.05,83.46
Ad Ac 7c,65.1317,58.36,130.567,97.2731,41.64,97.9331,102.255,0.00,11.52,3.96,84.52
Ad Ac 8c,64.3814,58.38,130.386,97.1052,41.62,98.1138,102.493,0.00,13.39,0.37,86.24
Ad Ac 9c,67.6078,59.28,132.224,96.9842,40.72,96.2762,102.788,0.00,12.54,1.14,86.32
Ah Ad Ac,28.7434,63.91,152.75,103.917,36.09,75.75,91.2568,6.05,0.72,10.13,83.10
Ad Ac Jc,56.5936,62.25,143.829,100.455,37.75,84.6711,97.5229,1.51,13.79,0.02,84.67
Ad Ac Kc,59.3232,62.69,146.596,101.673,37.31,81.9037,95.4407,0.03,24.17,0.01,75.80
Ad Ac Qc,54.9447,61.71,140.925,99.2853,38.29,87.5752,99.4477,0.00,17.33,0.00,82.67
Ad Ac Tc,50.22,60.69,138.714,99.3732,39.31,89.7857,99.3085,0.00,18.59,0.00,81.41
Ac Jc 2c,75.4954,56.34,117.618,90.7672,43.66,110.882,110.42,9.95,18.65,9.07,62.33
Ac Jc 2d,49.0634,58.01,121.404,90.9913,41.99,107.096,110.892,3.39,31.55,0.00,65.05
Ac Jc 3c,86.8329,56.40,117.524,90.6031,43.60,110.976,110.658,9.42,19.32,9.31,61.95
Ac Jc 3d,53.9564,57.34,117.57,89.1487,42.66,110.93,113.056,3.69,32.95,0.01,63.36
Ac Jc 4c,79.5378,56.48,118.432,91.1621,43.52,110.068,109.973,8.58,18.01,9.38,64.03
Ac Jc 4d,51.6696,57.52,119.731,90.4967,42.48,108.769,111.334,3.20,31.98,0.00,64.81
Ac Jc 5c,80.5648,56.55,118.467,91.0757,43.45,110.033,110.116,8.34,17.57,11.61,62.48
Ac Jc 5d,52.617,57.15,116.969,88.9825,42.85,111.531,113.174,4.06,34.12,0.00,61.82
Ac Jc 6c,74.714,56.84,119.505,91.418,43.16,108.995,109.789,8.66,19.40,9.68,62.26
Ac Jc 6d,49.8815,57.59,119.022,89.8533,42.41,109.478,112.242,4.17,33.90,0.00,61.93
Ac Jc 7c,63.739,56.10,117.901,91.3721,43.90,110.599,109.541,10.79,16.67,13.60,58.93
Ac Jc 7d,40.8886,57.22,117.207,89.0531,42.78,111.293,113.119,5.08,35.66,0.00,59.27
Ac Jc 8c,62.4184,55.85,115.429,89.8652,44.15,113.071,111.342,11.49,16.86,17.97,53.69
Ac Jc 8d,48.3345,57.93,118.66,89.0573,42.07,109.84,113.518,6.35,35.26,0.00,58.39
Ac Jc 9c,67.4047,56.29,115.248,89.0172,43.71,113.252,112.651,12.31,12.74,25.76,49.19
Ac Jc 9d,51.492,58.61,119.367,88.5433,41.39,109.133,114.65,6.50,35.74,0.01,57.75
Ac Jd Jc,54.6228,60.67,140.552,100.717,39.33,87.9476,97.2357,3.66,18.19,0.00,78.14
Ac Jc Tc,87.5311,58.22,123.489,92.221,41.78,105.01,109.278,5.17,0.00,29.56,65.27
Ac Jc Td,83.4135,60.88,129.508,92.4928,39.12,98.9919,110.015,1.60,19.16,6.44,72.80
Ac Jd 2c,52.9754,58.59,123.309,91.5069,41.41,105.191,110.441,2.12,31.07,0.01,66.80
Ac Jd 3c,57.7322,57.91,119.672,89.8445,42.09,108.828,112.424,2.39,33.02,0.01,64.58
Ac Jd 4c,55.049,58.20,121.683,90.9006,41.80,106.817,111.11,2.21,31.57,0.00,66.22
Ac Jd 5c,55.432,57.94,119.466,89.6477,42.06,109.034,112.71,2.76,33.53,0.00,63.71
Ac Jd 6c,52.1789,58.41,121.849,90.6984,41.59,106.651,111.496,2.48,33.58,0.00,63.94
Ac Jd 7c,41.8473,57.94,120.052,90.0952,42.06,108.448,112.092,3.75,33.91,0.42,61.91
Ac Jd 8c,48.9599,58.42,120.161,89.4293,41.58,108.339,113.283,5.42,33.43,0.10,61.05
Ac Jd 9c,51.4173,58.88,120.106,88.6879,41.12,108.394,114.612,6.57,34.21,0.08,59.14
Ac Jd Tc,82.5726,61.11,130.42,92.7898,38.89,98.0797,109.653,1.48,18.06,6.14,74.32
Ac Kc 2c,65.5588,55.42,114.329,89.69,44.58,114.171,111.355,12.71,20.61,3.65,63.03
Ac Kc 2d,54.6437,58.07,122.671,91.8483,41.93,105.829,109.734,5.06,29.44,0.00,65.50
Ac Kc 3c,70.3817,55.27,113.369,89.1878,44.73,115.131,111.9,12.84,20.08,5.54,61.54
Ac Kc 3d,58.1158,57.35,119.179,90.3591,42.65,109.321,111.433,4.97,30.77,0.00,64.26
Ac Kc 4c,65.9481,55.50,115,90.092,44.50,113.5,110.891,12.52,22.31,0.95,64.21
Ac Kc 4d,56.2093,57.56,121.005,91.4013,42.44,107.495,110.126,5.05,29.46,0.00,65.48
Ac Kc 5c,64.4914,55.49,114.56,89.7577,44.51,113.94,111.305,12.34,21.42,4.17,62.06
Ac Kc 5d,55.501,57.20,118.504,90.0808,42.80,109.996,111.732,5.58,30.97,0.01,63.44
Ac Kc 6c,60.4063,55.84,115.971,90.2915,44.16,112.529,110.801,12.47,23.63,0.15,63.75
Ac Kc 6d,51.4804,57.60,120.345,90.8325,42.40,108.155,110.919,6.07,29.79,0.00,64.13
Ac Kc 7c,57.8573,55.81,116.619,90.8505,44.19,111.881,110.08,12.07,19.61,3.69,64.63
Ac Kc 7d,49.2172,57.44,120.455,91.1779,42.56,108.045,110.374,6.59,29.14,0.01,64.27
Ac Kc 8c,56.2538,55.83,116.919,91.0558,44.17,111.581,109.828,12.99,19.56,4.37,63.07
Ac Kc 8d,49.6811,57.65,121.192,91.3997,42.35,107.308,110.168,6.76,28.69,0.01,64.54
Ac Kc 9c,59.6901,56.32,116.042,89.5813,43.68,112.458,111.941,13.90,18.25,9.72,58.13
Ac Kc 9d,50.6469,58.67,122.596,90.8479,41.33,105.904,111.415,7.21,29.32,0.00,63.46
Ac Kc Jc,50.9878,55.21,112.224,88.3758,44.79,116.276,112.873,10.09,18.62,13.93,57.36
Ac Kc Jd,40.9189,59.48,126.235,92.267,40.52,102.265,109.744,8.47,21.08,1.22,69.23
Ac Kd Kc,56.1907,60.97,142.06,101.309,39.03,86.4403,96.2851,6.25,24.74,0.00,69.02
Ac Kc Qc,57.9379,56.16,116.891,90.5013,43.84,111.61,110.679,9.83,17.46,13.08,59.63
Ac Kc Qd,45.3647,59.74,127.955,93.1223,40.26,100.545,108.586,5.13,25.04,0.00,69.83
Ac Kc Tc,45.898,54.85,113.258,89.7825,45.15,115.242,110.966,15.54,19.32,5.25,59.89
Ac Kc Td,44.5768,59.19,126.084,92.6218,40.81,102.416,109.101,10.40,20.63,0.00,68.96
Ac Kd 2c,58.5805,58.60,124.556,92.4128,41.40,103.944,109.164,4.57,28.05,0.01,67.38
Ac Kd 3c,61.7359,57.84,121.076,91.017,42.16,107.424,110.776,4.39,30.02,0.00,65.60
Ac Kd 4c,59.2806,58.21,123.018,91.8849,41.79,105.482,109.743,4.22,28.80,0.01,66.97
Ac Kd 5c,58.2256,57.89,120.655,90.6172,42.11,107.845,111.35,4.95,30.25,0.00,64.80
Ac Kd 6c,54.312,58.28,122.527,91.4151,41.72,105.973,110.427,5.15,29.60,0.01,65.25
Ac Kd 7c,50.9382,58.17,122.853,91.8293,41.83,105.647,109.802,5.86,28.52,0.01,65.61
Ac Kd 8c,51.9682,58.31,122.829,91.5893,41.69,105.671,110.198,6.13,28.72,0.00,65.15
Ac Kd 9c,53.1557,59.15,123.193,90.5484,40.85,105.307,112.091,6.23,30.20,0.74,62.84
Ac Kd Jc,43.0461,59.69,126.749,92.3212,40.31,101.751,109.754,8.15,22.61,0.01,69.23
Ac Kd Qc,45.8682,59.92,128.859,93.5065,40.08,99.6414,108.08,4.94,24.95,0.00,70.10
Ac Kd Tc,46.8723,59.79,127.882,93.0008,40.21,100.618,108.784,10.61,19.89,0.00,69.49
Ac Qc 2c,83.4131,56.82,120.583,92.2746,43.18,107.917,108.654,6.54,25.13,0.00,68.33
Ac Qc 2d,51.15,57.54,119.449,90.2626,42.46,109.051,111.658,3.30,30.40,0.00,66.30
Ac Qc 3c,92.5451,56.52,120.063,92.3536,43.48,108.437,108.44,6.61,19.22,7.14,67.03
Ac Qc 3d,55.7877,56.85,116.024,88.7406,43.15,112.476,113.319,3.24,31.76,0.00,64.99
Ac Qc 4c,85.499,56.72,121.054,92.7876,43.28,107.446,107.946,5.78,24.73,0.00,69.49
Ac Qc 4d,53.7852,57.07,117.957,89.8625,42.93,110.543,111.957,3.09,30.86,0.00,66.05
Ac Qc 5c,85.3217,56.69,120.878,92.7092,43.31,107.622,108.036,5.29,20.16,6.68,67.87
Ac Qc 5d,54.5958,56.67,115.591,88.6796,43.33,112.909,113.301,2.87,33.09,0.00,64.04
Ac Qc 6c,79.8676,57.05,122.151,93.0914,42.95,106.349,107.658,5.35,19.08,8.19,67.38
Ac Qc 6d,50.6473,57.07,117.527,89.5328,42.93,110.973,112.397,3.20,32.74,0.00,64.05
Ac Qc 7c,78.4601,57.12,123.154,93.7469,42.88,105.346,106.808,4.75,17.89,8.15,69.21
Ac Qc 7d,49.508,57.01,118.594,90.4377,42.99,109.906,111.165,3.63,31.53,0.01,64.83
Ac Qc 8c,67.3777,56.60,120.26,92.374,43.40,108.24,108.443,6.80,18.59,12.29,62.32
Ac Qc 8d,45.6803,57.58,118.587,89.5387,42.42,109.913,112.664,4.74,34.58,0.00,60.68
Ac Qc 9c,72.5083,56.89,119.327,91.2028,43.11,109.173,110.094,8.19,17.52,16.35,57.93
Ac Qc 9d,53.2091,58.68,121.434,89.9748,41.32,107.066,112.659,4.36,34.33,0.00,61.30
Ac Qc Jc,66.7018,56.72,116.508,89.3086,43.28,111.992,112.504,7.53,9.13,26.99,56.35
Ac Qc Jd,55.4136,59.92,126.437,91.7483,40.08,102.063,110.707,3.48,26.72,0.45,69.34
Ac Qd Qc,67.5639,59.97,133.962,97.1274,40.03,94.538,102.673,0.19,26.28,0.00,73.53
Ac Qc Tc,45.4567,57.50,122.796,92.8565,42.50,105.704,108.129,4.45,6.11,23.97,65.48
Ac Qc Td,31.5054,60.28,129.138,93.1467,39.72,99.362,108.758,4.77,18.28,2.92,74.02
Ac Qd 2c,54.0427,58.03,121.259,90.8482,41.97,107.241,111.1,2.11,30.60,0.00,67.30
Ac Qd 3c,59.0792,57.38,117.904,89.3321,42.62,110.596,112.834,2.09,32.19,0.00,65.72
Ac Qd 4c,56.447,57.70,119.91,90.352,42.30,108.59,111.619,1.84,31.35,0.00,66.81
Ac Qd 5c,57.4172,57.49,117.904,89.1722,42.51,110.596,113.107,1.86,33.38,0.00,64.76
Ac Qd 6c,53.4352,57.90,119.932,90.0658,42.10,108.568,112.111,1.78,33.17,0.00,65.05
Ac Qd 7c,51.3432,57.86,120.974,90.9065,42.14,107.526,110.937,2.09,31.65,0.00,66.26
Ac Qd 8c,48.6157,58.26,120.182,89.6902,41.74,108.318,112.827,3.73,34.53,0.00,61.74
Ac Qd 9c,54.201,58.91,121.319,89.5433,41.09,107.181,113.402,3.92,33.90,0.00,62.17
Ac Qd Jc,57.7775,60.01,126.577,91.7104,39.99,101.923,110.807,3.32,27.48,0.03,69.17
Ac Qd Tc,33.7931,60.99,131.389,93.6677,39.01,97.1106,108.227,4.66,18.01,1.41,75.92
Ac Tc 2c,63.3884,54.83,113.108,89.6872,45.17,115.392,111.075,11.97,19.68,7.81,60.54
Ac Tc 2d,49.926,56.74,118.609,90.889,43.26,109.891,110.442,2.26,35.62,0.00,62.12
Ac Tc 3c,66.7783,54.47,111.378,88.9016,45.53,117.121,111.846,12.00,20.73,8.69,58.58
Ac Tc 3d,53.1203,55.94,114.62,89.0786,44.06,113.88,112.389,3.04,36.94,0.00,60.02
Ac Tc 4c,62.1137,54.76,113.045,89.7501,45.24,115.455,110.967,10.83,19.42,8.23,61.51
Ac Tc 4d,50.708,56.15,116.613,90.2991,43.85,111.887,110.934,2.94,35.45,0.00,61.61
Ac Tc 5c,61.4836,54.93,113.231,89.626,45.07,115.269,111.196,10.87,19.71,9.28,60.14
Ac Tc 5d,50.8951,55.92,114.471,89.0043,44.08,114.029,112.469,3.94,36.84,0.00,59.23
Ac Tc 6c,55.7644,54.98,113.879,90.0563,45.02,114.621,110.695,11.85,25.54,2.16,60.44
Ac Tc 6d,45.0567,55.59,112.727,88.1622,44.41,115.773,113.351,2.79,39.71,0.00,57.50
Ac Tc 7c,51.6249,54.89,113.747,90.1052,45.11,114.753,110.593,12.29,18.52,11.55,57.64
Ac Tc 7d,43.7602,55.60,113.272,88.5785,44.40,115.228,112.834,4.74,38.59,0.00,56.67
Ac Tc 8c,55.5153,54.81,111.14,88.1666,45.19,117.36,112.908,13.70,18.34,15.61,52.34
Ac Tc 8d,46.5176,56.34,114.407,88.2902,43.66,114.093,113.618,5.75,38.33,0.01,55.91
Ac Tc 9c,54.9156,54.53,109.305,87.1474,45.47,119.195,113.981,13.93,18.31,18.90,48.86
Ac Tc 9d,48.9052,56.88,115.011,87.9083,43.12,113.489,114.44,6.39,39.03,0.00,54.58
Ac Td Tc,63.4371,57.95,125.39,94.0781,42.05,103.11,106.61,1.74,32.65,0.00,65.60
Ac Td 2c,51.531,56.90,119.762,91.5102,43.10,108.739,109.696,2.18,34.41,0.01,63.40
Ac Td 3c,54.8256,56.10,115.975,89.8836,43.90,112.525,111.442,2.70,35.83,0.01,61.46
Ac Td 4c,51.7923,56.40,117.784,90.7966,43.60,110.716,110.41,2.62,34.32,0.00,63.06
Ac Td 5c,51.5297,56.25,115.893,89.5817,43.75,112.607,111.903,3.06,36.27,0.00,60.67
Ac Td 6c,45.2015,56.03,115.091,89.3059,43.97,113.409,112.145,2.05,38.51,0.01,59.44
Ac Td 7c,43.382,56.05,115.273,89.4212,43.95,113.227,112.007,3.39,37.37,0.04,59.20
Ac Td 8c,47.6627,56.64,115.594,88.7276,43.36,112.906,113.223,4.67,37.68,0.00,57.65
Ac Td 9c,49.0145,57.02,115.63,88.1719,42.98,112.87,114.174,6.10,38.02,0.01,55.87
Ad 3c 2c,86.5916,54.02,107.984,86.909,45.98,120.516,113.962,0.00,21.86,8.20,69.94
Ad 4c 2c,73.634,54.82,112.811,89.4786,45.18,115.689,111.321,0.00,19.92,9.09,70.98
Ad 4c 3c,79.8465,53.82,108.614,87.7379,46.18,119.886,112.88,0.01,20.18,10.47,69.34
Ad 5c 2c,76.4336,54.69,111.71,88.8012,45.31,116.79,112.08,0.00,26.28,0.18,73.54
Ad 5c 3c,81.7578,53.82,108.122,87.3381,46.18,120.378,113.347,0.01,23.59,5.93,70.46
Ad 5c 4c,84.3388,53.28,105.768,86.3039,46.72,122.732,114.225,0.01,22.30,9.36,68.33
Ad 6c 2c,73.5241,55.77,116.023,90.4461,44.23,112.477,110.574,0.00,25.00,0.78,74.22
Ad 6c 3c,79.8256,54.62,111.603,88.8437,45.38,116.897,111.989,0.00,26.45,0.40,73.15
Ad 6c 4c,74.8596,54.59,112.908,89.9317,45.41,115.592,110.666,0.00,26.84,0.00,73.16
Ad 6c 5c,82.2435,53.59,108.578,88.0886,46.41,119.922,112.35,0.02,26.25,2.56,71.17
Ad 7c 2c,71.4053,55.87,116.854,90.9309,44.13,111.646,110.005,0.00,25.31,0.01,74.68
Ad 7c 3c,77.9661,54.48,111.512,88.988,45.52,116.988,111.749,0.00,21.49,7.66,70.85
Ad 7c 4c,73.93,54.54,112.732,89.8744,45.46,115.768,110.713,0.00,23.47,4.53,72.00
Ad 7c 5c,75.1661,53.95,110.858,89.3467,46.05,117.642,111.063,0.00,22.87,6.35,70.78
Ad 7c 6c,79.9612,53.35,107.39,87.5128,46.65,121.11,112.885,0.55,22.23,9.57,67.65
Ad 8c 2c,71.0772,56.01,117.669,91.335,43.99,110.831,109.552,0.00,25.33,0.00,74.66
Ad 8c 3c,75.9773,55.18,114.151,89.9369,44.82,114.349,110.936,0.01,24.20,2.65,73.15
Ad 8c 4c,72.7194,54.89,113.884,90.2146,45.11,114.616,110.459,0.00,21.29,7.67,71.05
Ad 8c 5c,75.9497,54.05,111.309,89.5432,45.95,117.191,110.88,0.00,24.48,4.31,71.21
Ad 8c 6c,72.624,54.46,113.294,90.4432,45.54,115.206,109.998,0.02,27.70,0.00,72.27
Ad 8c 7c,73.1236,53.70,108.279,87.6728,46.30,120.221,112.887,1.67,26.20,5.50,66.63
Ad 9c 2c,73.2028,56.69,119.572,91.6981,43.31,108.928,109.363,0.00,25.38,0.23,74.39
Ad 9c 3c,78.6232,55.81,115.821,90.2364,44.19,112.679,110.853,0.02,26.82,0.00,73.15
Ad 9c 4c,75.626,56.23,118.42,91.5726,43.77,110.08,109.335,0.00,25.53,0.04,74.43
Ad 9c 5c,77.961,55.02,113.356,89.5713,44.98,115.144,111.309,0.01,25.15,4.07,70.77
Ad 9c 6c,76.1163,55.28,114.146,89.7759,44.72,114.354,111.181,0.34,26.18,2.24,71.24
Ad 9c 7c,72.2729,55.05,113.972,90.0165,44.95,114.528,110.776,1.15,25.53,3.48,69.83
Ad 9c 8c,77.9414,54.74,110.47,87.7404,45.26,118.03,113.388,3.63,30.58,0.00,65.79
Ah Ad 2c,44.7211,59.60,131.236,95.7417,40.40,97.2643,104.667,0.00,16.83,0.01,83.16
Ah Ad 3c,57.5843,58.77,127.89,94.6131,41.23,100.61,106.097,0.00,16.56,1.99,81.45
Ah Ad 4c,43.975,59.11,130.494,95.9842,40.89,98.0066,104.21,0.00,16.55,0.45,83.00
Ah Ad 5c,51.0748,58.85,130.085,96.1135,41.15,98.415,103.972,0.00,14.50,2.17,83.33
Ah Ad 6c,49.0983,59.76,132.858,96.6625,40.24,95.6416,103.336,0.00,12.54,0.08,87.38
Ah Ad 7c,46.9765,59.85,134.436,97.6545,40.15,94.0636,101.872,0.00,11.40,0.48,88.12
Ah Ad 8c,44.4033,60.15,135.641,98.0468,39.85,92.8591,101.311,0.00,10.74,0.46,88.80
Ah Ad 9c,51.5161,61.12,137.944,98.1285,38.88,90.5564,101.265,0.00,12.46,0.02,87.52
Ah Ad Jc,57.2869,63.91,149.297,101.571,36.09,79.2027,95.4112,0.00,12.30,0.02,87.67
Ah Ad Kc,66.1871,63.80,149.012,101.542,36.20,79.4881,95.4792,0.00,21.19,0.00,78.81
Ah Ad Qc,58.4365,63.43,145.153,99.4917,36.57,83.3467,99.0969,0.00,15.39,0.01,84.60
Ah Ad Tc,47.6755,62.39,144.858,100.955,37.61,83.6423,96.683,0.00,18.35,0.01,81.65
Ad Jc 2c,52.7733,58.88,124.742,92.1067,41.12,103.758,109.718,2.51,29.15,0.02,68.32
Ad Jc 3c,59.1026,58.23,121.157,90.4637,41.77,107.343,111.733,3.07,31.02,0.00,65.91
Ad Jc 4c,54.2168,58.54,123.575,91.7731,41.46,104.925,110.045,2.54,29.43,0.01,68.02
Ad Jc 5c,55.5922,58.31,121.477,90.5752,41.69,107.024,111.618,2.72,31.92,0.01,65.35
Ad Jc 6c,54.508,58.79,123.443,91.2968,41.21,105.057,110.832,2.13,32.28,0.00,65.58
Ad Jc 7c,43.2411,58.05,120.522,90.2658,41.95,107.978,111.916,3.52,30.50,3.43,62.55
Ad Jc 8c,47.3508,58.67,121.709,90.1935,41.33,106.791,112.343,4.46,30.60,1.77,63.17
Ad Jc 9c,49.6533,59.23,121.858,89.4489,40.77,106.642,113.73,5.07,32.28,0.60,62.06
Ad Jc Tc,83.2482,61.44,131.777,93.2466,38.56,96.7234,109.071,0.84,15.07,7.70,76.39
Ad Kc 2c,58.4498,58.69,125.001,92.5993,41.31,103.499,108.936,5.17,26.22,0.01,68.60
Ad Kc 3c,62.1008,57.96,121.569,91.1963,42.04,106.931,110.585,5.05,28.12,0.03,66.80
Ad Kc 4c,59.0815,58.36,123.774,92.2099,41.64,104.726,109.352,5.01,26.73,0.01,68.25
Ad Kc 5c,58.1119,58.08,121.66,91.0757,41.92,106.84,110.808,5.10,28.53,0.00,66.37
Ad Kc 6c,54.7246,58.47,123.448,91.793,41.53,105.052,109.985,4.74,28.37,0.01,66.89
Ad Kc 7c,52.8027,58.36,123.147,91.7377,41.64,105.353,110.016,5.43,25.70,2.68,66.20
Ad Kc 8c,51.052,58.60,124.121,92.0982,41.40,104.379,109.608,5.54,27.05,0.43,66.99
Ad Kc 9c,50.5282,59.34,124.274,91.0565,40.66,104.226,111.448,5.45,26.54,3.68,64.33
Ad Kc Jc,42.4338,59.82,127.138,92.4116,40.18,101.362,109.673,5.39,21.92,1.31,71.38
Ad Kc Qc,47.1023,60.28,129.684,93.5396,39.72,98.8159,108.162,3.55,25.10,0.00,71.35
Ad Kc Tc,45.3103,60.04,129.249,93.6035,39.96,99.2507,107.978,8.73,20.61,0.01,70.64
Ad Qc 2c,55.0471,58.30,122.143,91.0898,41.70,106.357,110.893,2.95,28.53,0.01,68.52
Ad Qc 3c,59.7586,57.57,118.716,89.66,42.43,109.784,112.491,2.94,30.14,0.01,66.92
Ad Qc 4c,56.5983,57.95,121.116,90.8675,42.05,107.384,111.036,2.48,29.42,0.01,68.09
Ad Qc 5c,57.2027,57.66,119.202,89.8828,42.34,109.298,112.238,2.00,31.51,0.00,66.49
Ad Qc 6c,54.7753,58.21,120.954,90.3407,41.79,107.546,111.895,1.67,31.46,0.00,66.86
Ad Qc 7c,53.081,58.04,121.102,90.7165,41.96,107.398,111.287,2.04,30.73,0.01,67.22
Ad Qc 8c,46.6048,58.40,120.631,89.8125,41.60,107.869,112.732,3.66,32.99,0.00,63.35
Ad Qc 9c,50.6939,59.15,122.305,89.906,40.85,106.195,113.017,3.51,32.00,0.07,64.42
Ad Qc Jc,58.1742,60.36,128.045,92.2267,39.64,100.455,110.193,2.13,26.28,0.00,71.59
Ad Qc Tc,33.52,61.36,132.55,93.9185,38.64,95.9498,107.97,3.56,18.99,0.00,77.45
Ad Tc 2c,50.3495,57.57,122.287,92.3623,42.43,106.213,108.824,2.10,31.82,0.42,65.66
Ad Tc 3c,53.7391,56.70,118.356,90.7533,43.30,110.144,110.603,2.64,33.06,0.67,63.63
Ad Tc 4c,50.0967,57.17,120.836,91.8899,42.83,107.663,109.305,2.39,31.35,1.05,65.21
Ad Tc 5c,50.1469,56.93,119.031,90.8982,43.07,109.469,110.519,2.30,32.94,1.31,63.45
Ad Tc 6c,44.9529,56.47,116.97,90.0605,43.53,111.53,111.396,1.38,35.91,0.80,61.92
Ad Tc 7c,43.1692,56.39,116.852,90.0963,43.61,111.648,111.311,3.00,34.45,1.77,60.78
Ad Tc 8c,45.4594,57.06,117.576,89.5851,42.94,110.924,112.323,4.01,34.61,1.23,60.15
Ad Tc 9c,46.7539,57.53,117.928,89.1311,42.47,110.572,113.185,5.05,35.09,1.06,58.80
Ah 2d 2c,55.6427,59.50,131.63,96.1799,40.50,96.8698,104.003,0.00,17.45,0.01,82.54
Ah 3d 3c,59.7462,58.96,128.95,95.086,41.04,99.5498,105.471,0.00,18.10,0.02,81.88
Ah 3d 2c,78.5087,54.95,107.579,85.1217,45.05,120.921,116.699,0.00,29.59,0.01,70.40
Ah 4d 4c,60.8858,58.61,127.574,94.6411,41.39,100.927,106.012,0.00,18.31,0.01,81.68
Ah 4d 2c,64.8088,56.15,114.854,88.9283,43.85,113.646,112.692,0.00,29.22,0.01,70.78
Ah 4d 3c,72.7328,54.93,109.382,86.5716,45.07,119.118,114.922,0.00,30.29,0.00,69.71
Ah 5d 5c,67.5045,57.71,123.191,92.8056,42.29,105.309,108.277,0.00,18.86,1.11,80.03
Ah 5d 2c,68.3442,55.95,112.838,87.6822,44.05,115.662,114.167,0.00,28.63,0.05,71.32
Ah 5d 3c,74.8795,54.86,108.909,86.3162,45.14,119.591,115.184,0.00,29.73,0.00,70.26
Ah 5d 4c,77.2813,54.42,107.179,85.6303,45.58,121.321,115.726,0.00,30.40,0.00,69.59
Ah 6d 6c,66.6648,58.20,124.293,92.845,41.80,104.207,108.404,0.00,18.96,0.08,80.96
Ah 6d 2c,64.5351,57.26,118.309,89.8327,42.74,110.191,112.096,0.00,27.03,0.01,72.96
Ah 6d 3c,72.7644,55.90,112.709,87.6637,44.10,115.791,114.158,0.00,28.44,0.00,71.56
Ah 6d 4c,68.0842,55.89,114.646,89.188,44.11,113.854,112.221,0.00,28.61,0.00,71.39
Ah 6d 5c,75.7428,54.83,109.607,86.921,45.17,118.893,114.43,0.00,24.53,7.09,68.38
Ah 7d 7c,64.2995,58.38,125.539,93.5022,41.62,102.961,107.546,0.00,19.40,0.69,79.91
Ah 7d 2c,60.446,57.69,120.485,90.8071,42.31,108.015,110.993,0.00,27.07,0.01,72.92
Ah 7d 3c,69.8688,55.88,113.134,88.0206,44.12,115.366,113.696,0.00,29.25,0.01,70.74
Ah 7d 4c,65.5057,55.94,114.609,89.0746,44.06,113.891,112.392,0.00,29.11,0.00,70.88
Ah 7d 5c,68.9386,55.24,112.129,88.2538,44.76,116.371,113.04,0.00,29.30,0.00,70.70
Ah 7d 6c,73.6607,54.78,109.327,86.7707,45.22,119.173,114.585,0.00,30.45,0.00,69.54
Ah 8d 8c,67.409,58.33,123.74,92.2347,41.67,104.76,109.304,0.00,22.04,0.01,77.95
Ah 8d 2c,60.3386,57.60,120.587,91.0188,42.40,107.913,110.664,0.00,27.77,0.01,72.22
Ah 8d 3c,67.1592,56.59,116.093,89.1872,43.40,112.407,112.596,0.00,28.90,0.01,71.09
Ah 8d 4c,64.0222,56.06,115.458,89.5399,43.94,113.042,111.863,0.00,29.72,0.00,70.27
Ah 8d 5c,68.7417,54.95,111.232,88.009,45.05,117.268,113.179,0.00,30.25,0.01,69.74
Ah 8d 6c,67.2052,55.87,114.371,89.0036,44.13,114.129,112.444,0.00,29.30,0.00,70.70
Ah 8d 7c,67.643,55.19,111.599,87.9208,44.81,116.901,113.421,0.00,30.27,0.00,69.73
Ah 9d 9c,72.8068,59.03,122.673,90.3605,40.97,105.827,112.294,0.00,23.38,0.00,76.61
Ah 9d 2c,66.1523,58.23,121.991,91.0926,41.77,106.51,110.854,0.00,27.10,0.01,72.90
Ah 9d 3c,70.8481,57.22,117.237,89.0855,42.78,111.263,113.073,0.00,28.71,0.01,71.28
Ah 9d 4c,68.4744,57.53,120.08,90.7504,42.47,108.42,110.994,0.00,27.55,0.01,72.44
Ah 9d 5c,72.915,56.03,114.267,88.6628,43.97,114.233,112.966,0.00,29.81,0.00,70.19
Ah 9d 6c,71.7073,56.32,115.176,88.9142,43.68,113.324,112.801,0.00,28.70,0.00,71.30
Ah 9d 7c,69.9163,56.38,116.801,90.0749,43.62,111.699,111.333,0.00,27.95,0.00,72.05
Ah 9d 8c,76.6207,55.61,113.267,88.5605,44.39,115.233,112.861,0.16,29.34,0.00,70.50
Ah Jd Jc,54.8766,62.99,147.018,101.482,37.01,81.482,95.7153,0.00,18.13,0.01,81.86
