Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 150 freq,CALL freq,FOLD freq
7c 5d 5c,6.24149,55.54,96.7703,129.071,44.46,24.6693,61.6472,0.00,3.19,60.14,36.67
7c 5d 2c,6.84056,55.73,97.3051,129.343,44.27,21.9868,55.179,0.00,4.23,61.51,34.25
7c 5d 3c,7.8419,55.40,96.5534,129.111,44.60,22.9154,57.0823,0.00,5.52,59.43,35.05
7c 5d 4c,10.3979,54.24,95.6817,130.661,45.76,24.0375,58.3707,0.00,9.04,54.96,36.00
7c 6c 2c,3.03309,57.79,99.9265,128.087,42.21,22.6093,59.5135,0.00,0.00,57.77,42.23
7c 6c 2d,6.46197,55.61,97.8938,130.407,44.39,21.4572,53.7036,0.00,4.39,61.13,34.48
7c 6c 3c,5.12897,57.91,99.6379,127.452,42.09,22.7947,60.1726,0.00,0.00,58.60,41.40
7c 6c 3d,7.97521,53.78,96.3954,132.78,46.22,22.7902,54.782,0.00,8.35,56.52,35.13
7c 6c 4c,5.38318,58.41,98.2175,124.566,41.59,24.3918,65.1575,0.00,0.69,57.37,41.94
7c 6c 4d,7.93701,54.50,96.5876,131.269,45.50,22.9262,55.9905,0.00,7.80,56.37,35.84
7c 6c 5c,5.71542,57.33,96.7111,124.966,42.67,25.8594,67.3308,0.00,0.92,58.03,41.06
7c 6c 5d,8.30107,55.25,96.6052,129.519,44.75,23.4674,58.268,0.00,8.00,55.95,36.06
7c 6d 6c,6.20305,55.28,96.781,129.684,44.72,24.2658,60.2912,0.00,5.00,58.24,36.76
7c 6d 2c,6.42145,55.54,97.6876,130.295,44.46,21.6461,54.0921,0.00,5.41,59.82,34.77
7c 6d 3c,8.07295,53.83,96.178,132.336,46.17,23.017,55.3976,0.00,8.95,55.79,35.27
7c 6d 4c,8.07097,54.58,96.445,130.893,45.42,23.1271,56.5755,0.00,7.91,56.16,35.94
7c 6d 5c,8.65252,55.27,96.4133,129.22,44.73,23.7291,58.9416,0.00,8.31,55.44,36.25
7d 7c 2c,5.31214,54.92,95.4789,128.784,45.08,26.4286,65.1368,0.00,6.33,56.25,37.43
7d 7c 3c,6.13181,54.87,95.6224,129.097,45.13,26.065,64.1678,0.00,5.35,57.95,36.70
7d 7c 4c,6.77037,55.12,96.0297,129.061,44.88,25.6646,63.5331,0.00,4.55,58.80,36.66
7d 7c 5c,6.67256,55.17,95.8937,128.751,44.83,25.8223,64.0014,0.00,5.15,58.17,36.68
7d 7c 6c,6.52734,54.91,96.1925,129.762,45.09,25.0926,61.835,0.00,5.99,57.49,36.52
7h 7d 7c,0.83984,54.96,92.4326,124.579,45.04,28.0656,69.2363,0.00,7.25,59.04,33.71
7d 3c 2c,5.78425,55.56,97.5678,130.091,44.44,21.825,54.5623,0.00,3.85,62.53,33.62
7d 4c 2c,6.85909,55.72,97.1932,129.207,44.28,22.1742,55.642,0.00,2.73,63.91,33.37
7d 4c 3c,8.27108,54.03,95.7739,131.309,45.97,23.8552,57.656,0.00,6.34,58.77,34.88
7d 5c 2c,6.99439,55.82,97.4553,129.32,44.18,21.9162,55.1209,0.00,4.26,61.39,34.35
7d 5c 3c,7.89032,55.49,96.58,128.917,44.51,23.0306,57.4964,0.00,5.03,60.02,34.95
7d 5c 4c,10.394,54.25,95.6181,130.555,45.75,24.1624,58.6842,0.00,9.06,54.84,36.10
7d 6c 2c,6.3919,55.56,97.8457,130.448,44.44,21.5151,53.7941,0.00,5.23,60.10,34.67
7d 6c 3c,8.12028,53.76,96.0612,132.363,46.24,23.2272,55.8114,0.00,8.55,56.34,35.11
7d 6c 4c,8.06304,54.49,96.4801,131.158,45.51,23.1183,56.4411,0.00,7.90,56.17,35.93
