Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
8c 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5d 5c,0.00002,15.60,-58.1034,-206.889,84.40,1123.71,122.15,16.92,83.08
8c 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 5d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6d 4c,0.00002,16.65,-107.435,-358.399,83.35,1162.25,127.933,28.78,71.22
8c 6d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 2d,0.00002,27.17,-14.8035,-30.2659,72.83,1073.5,135.232,24.51,75.49
8c 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 4d,0.00002,19.36,-74.1936,-212.946,80.64,1132.12,128.793,25.36,74.64
8c 7c 5c,0.00001,0.00,-262.243,-Infinity,100.00,1317.01,120.826,28.82,71.18
8c 7c 5d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 6d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 4c,0.00002,19.74,-72.6731,-204.576,80.27,1130.21,129.184,25.78,74.22
8c 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 8c 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 8c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 4c 2c,0.00001,14.05,-145.524,-575.25,85.95,1200.11,128.107,29.04,70.96
8d 4c 3c,0,13.71,-145.639,-590.028,86.29,1200.21,127.609,29.05,70.95
8d 5c 2c,0.00001,24.65,-33.2265,-74.8935,75.35,1089.44,132.639,27.23,72.77
8d 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 2c,0.00002,25.42,-19.9244,-43.5502,74.58,1077.92,132.591,25.28,74.72
8d 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8d 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 8d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 3d 3c,0.00002,9.18,-120.538,-729.694,90.82,1179.04,119.1,24.72,75.28
8h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 5c,0.00002,10.57,-89.5379,-470.652,89.43,1154,118.385,18.17,81.83
8h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 6d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8h 7d 6c,0,20.80,-37.1043,-99.0913,79.20,1092.47,126.553,28.16,71.84
9c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 3c 2d,0.00001,22.87,-52.5086,-127.573,77.13,1108.98,131.903,26.96,73.04
