Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Jc6c2d.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
7c 5c 3c,100,51.07,25.2719,82.4671,48.93,27.2191,92.7233,33.76,66.24
7c 5c 3d,100,50.64,22.7532,74.8824,49.36,28.9776,97.8485,7.40,92.60
7c 5c 4c,100,49.95,23.9378,79.8769,50.05,28.7511,95.736,19.56,80.44
7c 5c 4d,100,49.13,20.1141,68.2318,50.87,31.3855,102.833,0.00,100.00
7c 5d 5c,100,52.48,24.1091,76.5704,47.52,27.8616,97.7125,12.18,87.82
7c 5d 2c,100,51.25,23.7394,77.1943,48.75,27.7646,94.9309,18.78,81.22
7c 5d 3c,100,50.73,23.0852,75.8384,49.27,28.6184,96.8146,10.80,89.20
7c 5d 4c,100,49.23,20.4758,69.3214,50.77,31.1148,102.142,0.01,99.99
7c 6c 2c,100,51.81,26.8185,86.2766,48.19,25.388,87.8001,59.44,40.56
7c 6c 2d,100,51.36,24.273,78.7617,48.64,27.1309,92.9724,22.98,77.02
7c 6c 3c,100,50.86,25.5755,83.8143,49.14,26.8147,90.9417,38.82,61.18
7c 6c 3d,100,50.30,22.5575,74.7368,49.70,29.1216,97.6665,3.24,96.76
7c 6c 4c,100,50.79,25.4527,83.5221,49.21,27.0076,91.4712,36.13,63.87
7c 6c 4d,100,50.20,23.1486,76.8521,49.80,28.54,95.5187,10.77,89.23
7c 6c 5c,100,50.56,24.5807,81.0335,49.44,27.9587,94.245,27.24,72.76
7c 6c 5d,100,50.17,23.0432,76.5473,49.83,28.8433,96.4764,8.89,91.11
7c 6d 6c,100,52.53,24.3216,77.168,47.47,27.5034,96.5634,14.52,85.48
7c 6d 2c,100,51.33,24.3057,78.9152,48.67,27.093,92.7835,24.40,75.60
7c 6d 3c,100,50.24,22.5308,74.7483,49.76,29.174,97.7095,3.26,96.74
7c 6d 4c,100,50.14,23.0824,76.7255,49.86,28.6328,95.712,10.75,89.25
7c 6d 5c,100,50.01,22.7157,75.7021,49.99,29.2456,97.5068,5.32,94.68
7d 7c 2c,100,53.12,24.0968,75.6054,46.88,27.9787,99.469,11.25,88.75
7d 7c 3c,100,52.61,23.433,74.2397,47.39,28.6582,100.782,4.38,95.62
7d 7c 4c,100,52.20,23.2565,74.2513,47.80,28.8326,100.538,3.82,96.18
7d 7c 5c,100,52.34,23.103,73.5675,47.66,28.9969,101.402,1.39,98.61
7d 7c 6c,100,52.47,23.6821,75.2203,47.53,28.2893,99.2035,5.89,94.11
7h 7d 7c,100,55.74,26.8291,80.2248,44.26,23.8663,89.867,60.70,39.30
7d 3c 2c,100,51.61,24.5685,79.3369,48.39,26.7993,92.3074,29.68,70.32
7d 4c 2c,100,51.18,23.9729,78.0655,48.82,27.4661,93.7694,23.82,76.18
7d 4c 3c,100,50.14,22.3363,74.2509,49.86,29.5426,98.746,2.48,97.52
7d 5c 2c,100,51.18,23.5429,76.6709,48.82,28.0185,95.6475,16.07,83.93
7d 5c 3c,100,50.76,23.0588,75.7174,49.24,28.65,96.9665,10.79,89.21
7d 5c 4c,100,49.27,20.446,69.1621,50.73,31.1322,102.282,0.00,100.00
7d 6c 2c,100,51.32,24.3048,78.9291,48.68,27.094,92.7661,24.47,75.53
7d 6c 3c,100,50.23,22.5344,74.7731,49.77,29.1841,97.7267,3.13,96.87
7d 6c 4c,100,50.14,23.0775,76.7119,49.86,28.6468,95.7553,10.51,89.49
7d 6c 5c,100,50.08,22.8138,75.9317,49.92,29.1163,97.2006,6.83,93.17
7h 7d 2c,100,53.16,23.6238,74.0711,46.84,28.133,100.094,12.36,87.64
7h 7d 3c,100,52.68,22.9576,72.6303,47.32,28.8431,101.593,4.63,95.37
7h 7d 4c,100,52.23,22.5085,71.8267,47.77,29.3018,102.23,0.75,99.25
7h 7d 5c,100,52.50,22.6023,71.7485,47.50,29.2458,102.625,0.43,99.57
7h 7d 6c,100,52.41,22.7131,72.2233,47.59,29.0317,101.682,1.22,98.78
7h 2d 2c,100,52.97,23.9829,75.4642,47.03,27.5724,97.7074,14.80,85.20
7h 3d 3c,100,52.54,23.2064,73.6191,47.46,28.4952,100.061,2.52,97.48
7h 3d 2c,100,51.32,23.5035,76.3348,48.68,27.8781,95.4406,15.59,84.41
7h 4d 4c,100,52.35,23.7792,75.6986,47.64,27.8263,97.3391,11.28,88.72
7h 4d 2c,100,50.94,22.9201,74.9875,49.06,28.5301,96.9269,9.25,90.75
7h 4d 3c,100,49.92,21.0285,70.2064,50.08,30.502,101.513,0.02,99.98
7h 5d 5c,100,52.61,23.6699,74.9884,47.39,28.0632,98.6917,10.71,89.29
7h 5d 2c,100,51.11,22.805,74.3613,48.89,28.6643,97.7231,7.15,92.85
7h 5d 3c,100,50.61,22.2051,73.1248,49.39,29.4111,99.2478,2.70,97.30
7h 5d 4c,100,49.00,18.8184,64.0098,51.00,32.3206,105.62,0.00,100.00
7h 6d 6c,100,52.46,23.4233,74.4151,47.54,28.2188,98.932,8.70,91.30
7h 6d 2c,100,51.17,23.4854,76.4944,48.83,27.809,94.9182,13.44,86.56
7h 6d 3c,100,50.11,21.5089,71.5447,49.89,29.9158,99.931,0.05,99.95
7h 6d 4c,100,49.98,22.2965,74.3574,50.02,29.3508,97.7891,2.38,97.62
7h 6d 5c,100,49.94,22.2027,74.1036,50.06,29.6359,98.6603,0.54,99.46
8c 2d 2c,100,54.55,26.0558,79.6066,45.45,25.5768,93.794,34.47,65.53
8c 3c 2c,100,53.35,28.2526,88.2623,46.65,23.8997,85.3861,78.14,21.86
8c 3c 2d,100,53.22,25.7826,80.7357,46.78,25.3943,90.4827,41.19,58.81
8c 3d 3c,100,54.46,25.7673,78.86,45.54,26.0514,95.3378,26.39,73.61
8c 3d 2c,100,53.27,25.9135,81.075,46.73,25.238,90.015,42.95,57.05
8c 4c 2c,100,52.97,27.5368,86.6465,47.03,24.6102,87.2104,69.28,30.72
8c 4c 2d,100,52.89,24.9637,78.6697,47.11,26.2887,92.9995,31.12,68.88
8c 4c 3c,100,52.78,27.1641,85.7701,47.22,25.0153,88.3025,63.74,36.26
8c 4c 3d,100,52.82,24.9111,78.6074,47.18,26.3738,93.1628,30.25,69.75
8c 4d 4c,100,54.46,26.2711,80.3958,45.54,25.4051,92.9814,33.99,66.01
8c 4d 2c,100,53.02,25.2842,79.4806,46.98,25.8837,91.8249,36.04,63.96
8c 4d 3c,100,52.90,25.1013,79.0861,47.10,26.1267,92.4488,33.41,66.59
8c 5c 2c,100,52.47,26.9066,85.4747,47.53,25.2992,88.7042,60.16,39.84
8c 5c 2d,100,52.43,24.6406,78.3286,47.57,26.6058,93.2164,28.63,71.37
8c 5c 3c,100,52.40,26.7087,84.9433,47.60,25.5374,89.4256,56.36,43.64
8c 5c 3d,100,52.34,24.4699,77.9224,47.66,26.8354,93.8394,26.15,73.85
8c 5c 4c,100,51.34,25.2268,81.8907,48.66,27.2693,93.4059,32.64,67.36
8c 5c 4d,100,51.09,22.2255,72.5053,48.91,29.5554,100.712,0.39,99.61
8c 5d 5c,100,53.73,25.4834,79.0468,46.27,26.3657,94.9713,25.90,74.10
8c 5d 2c,100,52.61,25.1344,79.6258,47.39,25.9954,91.4229,35.80,64.20
8c 5d 3c,100,52.47,24.8249,78.8591,47.53,26.3843,92.5116,31.70,68.30
8c 5d 4c,100,51.14,22.4219,73.0695,48.86,29.378,100.218,1.12,98.88
8c 6c 2c,100,52.59,27.1926,86.175,47.41,25.0123,87.9324,63.36,36.64
8c 6c 2d,100,52.43,24.5055,77.898,47.57,26.8919,94.2201,22.84,77.16
8c 6c 3c,100,52.39,26.7968,85.2464,47.61,25.4517,89.0993,56.83,43.17
8c 6c 3d,100,52.34,24.4176,77.7499,47.66,26.9973,94.4134,22.30,77.70
8c 6c 4c,100,51.57,25.6707,82.9629,48.43,26.7803,92.1628,36.97,63.03
8c 6c 4d,100,51.41,23.1883,75.1748,48.59,28.5567,97.9507,5.68,94.32
8c 6c 5c,100,51.00,24.8556,81.2258,49.00,27.7797,94.4904,25.24,74.76
8c 6c 5d,100,50.82,22.4706,73.6976,49.18,29.3895,99.5923,1.43,98.57
8c 6d 6c,100,53.88,25.3402,78.3853,46.12,26.599,96.1217,18.64,81.36
8c 6d 2c,100,52.48,24.6946,78.4192,47.52,26.6552,93.4962,26.18,73.82
8c 6d 3c,100,52.34,24.475,77.9327,47.66,26.9154,94.1266,23.97,76.03
8c 6d 4c,100,51.34,23.0957,74.9782,48.66,28.6545,98.1423,5.52,94.48
8c 6d 5c,100,50.69,22.1993,72.9973,49.31,29.6622,100.248,0.29,99.71
8c 7c 2c,100,52.52,27.6664,87.791,47.48,24.6366,86.4866,63.18,36.82
8c 7c 2d,100,52.25,25.5154,81.3888,47.75,25.7864,90.0053,35.29,64.71
8c 7c 3c,100,52.30,27.2647,86.8929,47.70,25.0498,87.5179,57.68,42.32
8c 7c 3d,100,52.13,25.4052,81.2259,47.87,25.8953,90.1564,34.07,65.93
8c 7c 4c,100,51.43,26.1656,84.7908,48.57,26.2439,90.0587,42.31,57.69
8c 7c 4d,100,51.15,23.8287,77.6462,48.85,27.7738,94.7552,11.97,88.03
8c 7c 5c,100,51.49,25.7434,83.3213,48.51,26.771,91.986,33.52,66.48
8c 7c 5d,100,51.53,24.7179,79.9499,48.47,26.8161,92.2046,24.46,75.54
8c 7c 6c,100,51.83,26.6851,85.8151,48.17,25.774,89.1715,46.93,53.07
8c 7c 6d,100,51.50,25.0313,81.0074,48.50,26.7334,91.8676,28.31,71.69
8c 7d 7c,100,53.05,24.7045,77.6125,46.95,27.4435,97.4233,9.69,90.31
8c 7d 2c,100,52.26,25.6258,81.726,47.74,25.6702,89.6177,37.24,62.76
8c 7d 3c,100,52.08,25.3858,81.2347,47.92,25.9245,90.1724,34.78,65.22
8c 7d 4c,100,51.03,23.6783,77.3297,48.97,27.9726,95.2099,10.62,89.38
8c 7d 5c,100,51.35,24.3816,79.1359,48.65,27.2365,93.3069,20.65,79.35
8c 7d 6c,100,51.45,24.9558,80.8398,48.55,26.8344,92.1215,27.60,72.40
8d 8c 2c,100,55.01,26.957,81.6689,44.99,24.6095,91.1719,51.00,49.00
8d 8c 3c,100,54.90,26.7496,81.2051,45.10,24.8679,91.9013,47.66,52.34
8d 8c 4c,100,54.58,26.2832,80.2547,45.42,25.4108,93.2497,39.32,60.68
8d 8c 5c,100,53.97,25.8712,79.8885,46.03,25.878,93.7065,34.13,65.87
8d 8c 6c,100,54.14,26.015,80.083,45.86,25.7597,93.6207,33.36,66.64
8d 8c 7c,100,53.51,26.0545,81.1571,46.49,25.7343,92.2501,34.76,65.24
8h 8d 8c,100,57.18,29.6931,86.5558,42.82,20.4634,79.6399,93.07,6.93
8d 3c 2c,100,53.38,26.1828,81.753,46.62,24.893,88.9886,47.53,52.47
8d 4c 2c,100,53.05,25.3606,79.673,46.95,25.7858,91.5395,37.79,62.21
8d 4c 3c,100,52.93,25.1684,79.2529,47.07,26.0402,92.2013,34.99,65.01
8d 5c 2c,100,52.52,24.8872,78.9736,47.48,26.3043,92.3392,32.67,67.33
8d 5c 3c,100,52.48,24.772,78.6703,47.52,26.458,92.7972,31.13,68.87
8d 5c 4c,100,51.26,22.5306,73.2578,48.74,29.2627,100.062,2.13,97.87
8d 6c 2c,100,52.47,24.6563,78.3218,47.53,26.6946,93.602,26.02,73.98
8d 6c 3c,100,52.32,24.4251,77.8017,47.68,26.9676,94.2725,23.65,76.35
8d 6c 4c,100,51.40,23.1911,75.1963,48.60,28.5634,97.9568,6.39,93.61
8d 6c 5c,100,50.78,22.3139,73.2397,49.22,29.5631,100.102,0.32,99.68
8d 7c 2c,100,52.24,25.5783,81.6089,47.76,25.7286,89.78,36.92,63.08
8d 7c 3c,100,52.06,25.3381,81.1183,47.94,25.9848,90.3378,34.33,65.67
8d 7c 4c,100,51.08,23.7625,77.526,48.91,27.8893,95.0267,11.73,88.27
8d 7c 5c,100,51.36,24.3455,79.005,48.64,27.2797,93.4721,20.34,79.66
8d 7c 6c,100,51.49,25.0068,80.9423,48.51,26.7821,92.0178,28.20,71.80
8h 8d 2c,100,55.06,26.7316,80.9111,44.94,24.4315,90.6152,52.42,47.58
8h 8d 3c,100,55.01,26.5919,80.5698,44.99,24.5995,91.1252,50.87,49.13
8h 8d 4c,100,54.78,26.1684,79.613,45.22,25.1147,92.57,43.04,56.96
8h 8d 5c,100,54.20,25.6313,78.8205,45.80,25.7735,93.7848,35.33,64.67
8h 8d 6c,100,54.21,25.4767,78.3232,45.79,25.9561,94.4809,33.98,66.02
8h 8d 7c,100,53.48,25.3625,79.0443,46.52,26.1885,93.8197,31.11,68.89
8h 2d 2c,100,54.63,25.741,78.5317,45.37,25.6791,94.3319,31.41,68.59
8h 3d 3c,100,54.58,25.512,77.8999,45.42,26.0921,95.7498,24.44,75.56
8h 3d 2c,100,53.12,25.2222,79.1353,46.88,25.8145,91.7764,33.72,66.28
8h 4d 4c,100,54.66,26.1839,79.8341,45.34,25.2249,92.7318,33.80,66.20
8h 4d 2c,100,52.88,24.4213,76.9668,47.12,26.6901,94.4105,24.40,75.60
8h 4d 3c,100,52.82,24.3736,76.9122,47.18,26.79,94.6317,23.15,76.85
8h 5d 5c,100,53.93,25.1641,77.7701,46.07,26.4439,95.6621,24.20,75.80
8h 5d 2c,100,52.48,24.2312,76.947,47.52,26.832,94.1169,23.57,76.43
8h 5d 3c,100,52.39,24.0294,76.4499,47.61,27.0937,94.8378,20.83,79.17
8h 5d 4c,100,51.09,21.2262,69.2395,48.91,30.1615,102.787,0.01,99.99
8h 6d 6c,100,53.95,24.7406,76.4291,46.05,26.9499,97.5409,17.26,82.74
8h 6d 2c,100,52.34,23.722,75.5375,47.66,27.5581,96.3713,13.80,86.20
8h 6d 3c,100,52.26,23.6247,75.3437,47.74,27.6719,96.6059,13.30,86.70
8h 6d 4c,100,51.29,22.1627,72.0202,48.71,29.3943,100.572,0.12,99.88
8h 6d 5c,100,50.68,21.2132,69.7673,49.32,30.2765,102.305,0.00,100.00
8h 7d 7c,100,53.03,23.8771,75.0442,46.97,28.0716,99.6067,4.79,95.21
8h 7d 2c,100,52.10,24.8838,79.5953,47.90,26.2283,91.2701,29.64,70.36
8h 7d 3c,100,51.99,24.762,79.3748,48.01,26.3381,91.4403,28.78,71.22
8h 7d 4c,100,51.00,23.0235,75.2447,49.00,28.5311,97.0388,3.29,96.71
8h 7d 5c,100,51.40,24.0204,77.8944,48.60,27.3897,93.9197,18.13,81.87
8h 7d 6c,100,51.39,24.6388,79.9096,48.61,27.1979,93.25,19.76,80.24
9c 2d 2c,100,56.05,27.7069,82.3884,43.95,24.0743,91.2933,45.65,54.35
9c 3c 2c,100,54.49,29.1187,89.0691,45.51,23.043,84.3824,84.46,15.54
9c 3c 2d,100,54.77,27.2545,82.9351,45.23,23.7853,87.6468,56.42,43.58
9c 3d 3c,100,55.96,27.279,81.2446,44.04,24.6459,93.2721,36.79,63.21
9c 3d 2c,100,54.85,27.4555,83.4264,45.15,23.5391,86.8917,59.29,40.71
9c 4c 2c,100,54.49,28.8184,88.1503,45.51,23.413,85.7376,77.82,22.18
9c 4c 2d,100,54.96,27.2532,82.6409,45.04,23.8352,88.2063,54.89,45.11
9c 4c 3c,100,53.94,27.9698,86.4211,46.06,24.2579,87.7784,67.47,32.53
9c 4c 3d,100,54.45,26.3319,80.5997,45.55,24.7887,90.7015,44.56,55.44
9c 4d 4c,100,56.46,28.4057,83.8495,43.54,23.4052,89.5965,51.36,48.64
9c 4d 2c,100,55.12,27.6413,83.5785,44.88,23.3618,86.7575,60.51,39.49
9c 4d 3c,100,54.52,26.5157,81.0534,45.48,24.5591,90.0061,47.40,52.60
9c 5c 2c,100,53.76,27.952,86.652,46.24,24.2717,87.4897,68.26,31.74
9c 5c 2d,100,54.19,26.4537,81.3677,45.81,24.6589,89.7056,45.77,54.23
9c 5c 3c,100,53.50,27.441,85.4821,46.50,24.7794,88.8199,61.73,38.27
9c 5c 3d,100,53.88,25.7777,79.7325,46.12,25.3194,91.5056,39.74,60.26
9c 5c 4c,100,53.48,27.08,84.388,46.52,25.1927,90.2635,56.55,43.45
9c 5c 4d,100,53.96,25.3882,78.4173,46.04,25.8551,93.5956,33.62,66.38
9c 5d 5c,100,55.40,27.1497,81.6839,44.60,24.7393,92.4396,39.78,60.22
9c 5d 2c,100,54.38,26.9861,82.7062,45.62,24.0111,87.7243,53.35,46.65
9c 5d 3c,100,54.00,26.1159,80.6069,46.00,24.9028,90.2248,44.95,55.05
9c 5d 4c,100,54.00,25.5355,78.8177,46.00,25.6658,92.9861,36.29,63.71
9c 6c 2c,100,53.75,28.4347,88.1771,46.25,23.7327,85.515,74.48,25.52
9c 6c 2d,100,53.99,26.7714,82.6396,46.01,24.3085,88.0594,49.22,50.78
9c 6c 3c,100,53.29,27.6861,86.585,46.71,24.5095,87.4581,64.57,35.43
9c 6c 3d,100,53.62,26.04,80.9404,46.38,25.0056,89.8569,43.19,56.81
