Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
6c 5d 4c,0.00046,59.63,203.95,126.672,40.37,38.3266,52.7461,3.68,9.07,45.80,41.45
6d 6c 2c,0.59425,59.35,192.06,119.85,40.65,54.7065,74.7701,0.00,11.01,43.66,45.33
6d 6c 3c,0.46972,59.58,191.587,119.099,40.42,55.2962,76.0005,0.00,10.07,44.71,45.22
6d 6c 4c,0.51369,59.45,192.778,120.091,40.55,54.2008,74.266,0.00,10.03,44.67,45.30
6d 6c 5c,0.49179,59.75,192.768,119.496,40.25,54.0485,74.5959,0.00,10.22,45.46,44.31
6h 6d 6c,0.73789,60.03,174.17,107.454,39.97,71.7438,99.7248,0.00,22.02,33.39,44.60
6d 3c 2c,0.27925,57.82,188.354,120.662,42.18,55.65,73.2892,5.61,7.17,43.30,43.92
6d 4c 2c,0.39916,58.21,187.911,119.564,41.79,55.8032,74.1825,3.97,7.00,46.45,42.59
6d 4c 3c,0.05822,57.50,192.406,123.94,42.50,51.141,66.8463,6.16,6.69,44.31,42.84
6d 5c 2c,0.19887,57.97,187.578,119.838,42.03,55.3864,73.2151,4.14,6.91,48.30,40.66
6d 5c 3c,0.08586,58.01,192.917,123.179,41.99,49.9808,66.1212,4.47,6.12,49.25,40.16
6d 5c 4c,0.00085,57.96,198.509,126.842,42.04,44.4218,58.7081,2.00,10.84,45.94,41.21
6h 6d 2c,0.44915,57.49,192.976,124.332,42.51,54.3394,71.0071,0.00,11.71,43.80,44.49
6h 6d 3c,0.39833,58.14,192.09,122.377,41.86,55.1821,73.2284,0.00,7.77,48.49,43.75
6h 6d 4c,0.32771,58.65,192.255,121.409,41.35,54.7496,73.5574,0.00,6.58,50.23,43.18
6h 6d 5c,0.29375,59.03,192.011,120.466,40.97,54.8973,74.4471,0.00,8.96,47.88,43.16
6h 2d 2c,0.25512,58.42,191.599,121.473,41.58,54.391,72.6693,0.00,14.88,40.64,44.49
